curve,n,snr_db,epsilon,rate_bits
$\kappa\beta$ achievable v2 (max err),500,0.0,2.37137e-11,0.219765
$\kappa\beta$ achievable v2 (max err),500,0.0,6.81292e-11,0.22281
$\kappa\beta$ achievable v2 (max err),500,0.0,1.95734e-10,0.225855
$\kappa\beta$ achievable v2 (max err),500,0.0,5.62341e-10,0.232045
$\kappa\beta$ achievable v2 (max err),500,0.0,1.6156e-09,0.240167
$\kappa\beta$ achievable v2 (max err),500,0.0,4.64159e-09,0.248481
$\kappa\beta$ achievable v2 (max err),500,0.0,1.33352e-08,0.256999
$\kappa\beta$ achievable v2 (max err),500,0.0,3.83119e-08,0.26574
$\kappa\beta$ achievable v2 (max err),500,0.0,1.10069e-07,0.274733
$\kappa\beta$ achievable v2 (max err),500,0.0,3.16228e-07,0.283995
$\kappa\beta$ achievable v2 (max err),500,0.0,9.08518e-07,0.293566
$\kappa\beta$ achievable v2 (max err),500,0.0,2.61016e-06,0.303479
$\kappa\beta$ achievable v2 (max err),500,0.0,7.49894e-06,0.31378
$\kappa\beta$ achievable v2 (max err),500,0.0,2.15443e-05,0.324529
$\kappa\beta$ achievable v2 (max err),500,0.0,6.18966e-05,0.335795
$\kappa\beta$ achievable v2 (max err),500,0.0,0.000177828,0.347676
$\kappa\beta$ achievable v2 (max err),500,0.0,0.000510897,0.360298
$\kappa\beta$ achievable v2 (max err),500,0.0,0.0014678,0.373829
$\kappa\beta$ achievable v2 (max err),500,0.0,0.00421697,0.388541
$\kappa\beta$ achievable v2 (max err),500,0.0,0.0121153,0.404825
$\kappa\beta$ achievable v2 (max err),500,0.0,0.034807,0.423366
$\kappa\beta$ achievable v2 (max err),500,0.0,0.1,0.44553
Normal approximation,500,0.0,1e-12,0.231034
Normal approximation,500,0.0,2.87298e-12,0.236909
Normal approximation,500,0.0,8.25404e-12,0.242907
Normal approximation,500,0.0,2.37137e-11,0.249039
Normal approximation,500,0.0,6.81292e-11,0.255312
Normal approximation,500,0.0,1.95734e-10,0.261737
Normal approximation,500,0.0,5.62341e-10,0.268326
Normal approximation,500,0.0,1.6156e-09,0.275091
Normal approximation,500,0.0,4.64159e-09,0.282048
Normal approximation,500,0.0,1.33352e-08,0.289212
Normal approximation,500,0.0,3.83119e-08,0.296604
Normal approximation,500,0.0,1.10069e-07,0.304247
Normal approximation,500,0.0,3.16228e-07,0.312166
Normal approximation,500,0.0,9.08518e-07,0.320394
Normal approximation,500,0.0,2.61016e-06,0.32897
Normal approximation,500,0.0,7.49894e-06,0.337939
Normal approximation,500,0.0,2.15443e-05,0.34736
Normal approximation,500,0.0,6.18966e-05,0.357308
Normal approximation,500,0.0,0.000177828,0.367877
Normal approximation,500,0.0,0.000510897,0.379197
Normal approximation,500,0.0,0.0014678,0.391448
Normal approximation,500,0.0,0.00421697,0.40489
Normal approximation,500,0.0,0.0121153,0.419932
Normal approximation,500,0.0,0.034807,0.437279
Normal approximation,500,0.0,0.1,0.458332
