curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.001,1000,-8,0.106122
Shannon capacity,0.001,1000,-7.2069,0.125629
Shannon capacity,0.001,1000,-6.41379,0.148367
Shannon capacity,0.001,1000,-5.62069,0.174747
Shannon capacity,0.001,1000,-4.82759,0.205189
Shannon capacity,0.001,1000,-4.03448,0.240111
Shannon capacity,0.001,1000,-3.24138,0.279913
Shannon capacity,0.001,1000,-2.44828,0.324959
Shannon capacity,0.001,1000,-1.65517,0.375559
Shannon capacity,0.001,1000,-0.862069,0.431954
Shannon capacity,0.001,1000,-0.0689655,0.494295
Shannon capacity,0.001,1000,0.724138,0.562642
Shannon capacity,0.001,1000,1.51724,0.636954
Shannon capacity,0.001,1000,2.31034,0.717092
Shannon capacity,0.001,1000,3.10345,0.802832
Shannon capacity,0.001,1000,3.89655,0.893875
Shannon capacity,0.001,1000,4.68966,0.989864
Shannon capacity,0.001,1000,5.48276,1.0904
Shannon capacity,0.001,1000,6.27586,1.19508
Shannon capacity,0.001,1000,7.06897,1.30347
Shannon capacity,0.001,1000,7.86207,1.41516
Shannon capacity,0.001,1000,8.65517,1.52976
Shannon capacity,0.001,1000,9.44828,1.64691
Shannon capacity,0.001,1000,10.2414,1.76625
Shannon capacity,0.001,1000,11.0345,1.8875
Shannon capacity,0.001,1000,11.8276,2.01039
Shannon capacity,0.001,1000,12.6207,2.13466
Shannon capacity,0.001,1000,13.4138,2.26012
Shannon capacity,0.001,1000,14.2069,2.38659
Shannon capacity,0.001,1000,15,2.5139
NCT converse (ours),0.001,1000,-8,0.0660057
NCT converse (ours),0.001,1000,-7.2069,0.0817382
NCT converse (ours),0.001,1000,-6.41379,0.100583
NCT converse (ours),0.001,1000,-5.62069,0.122991
NCT converse (ours),0.001,1000,-4.82759,0.149433
NCT converse (ours),0.001,1000,-4.03448,0.180384
NCT converse (ours),0.001,1000,-3.24138,0.216305
NCT converse (ours),0.001,1000,-2.44828,0.257621
NCT converse (ours),0.001,1000,-1.65517,0.304703
NCT converse (ours),0.001,1000,-0.862069,0.35784
NCT converse (ours),0.001,1000,-0.0689655,0.417227
NCT converse (ours),0.001,1000,0.724138,0.482947
NCT converse (ours),0.001,1000,1.51724,0.55497
NCT converse (ours),0.001,1000,2.31034,0.633154
NCT converse (ours),0.001,1000,3.10345,0.717255
NCT converse (ours),0.001,1000,3.89655,0.806947
NCT converse (ours),0.001,1000,4.68966,0.90184
NCT converse (ours),0.001,1000,5.48276,1.0015
NCT converse (ours),0.001,1000,6.27586,1.10547
NCT converse (ours),0.001,1000,7.06897,1.21331
NCT converse (ours),0.001,1000,7.86207,1.32456
NCT converse (ours),0.001,1000,8.65517,1.43881
NCT converse (ours),0.001,1000,9.44828,1.55566
NCT converse (ours),0.001,1000,10.2414,1.67477
NCT converse (ours),0.001,1000,11.0345,1.79582
NCT converse (ours),0.001,1000,11.8276,1.91852
NCT converse (ours),0.001,1000,12.6207,2.04264
NCT converse (ours),0.001,1000,13.4138,2.16795
NCT converse (ours),0.001,1000,14.2069,2.29428
NCT converse (ours),0.001,1000,15,2.42146
$\chi^2$ converse (Polyanskiy),0.001,1000,-8,0.0663069
$\chi^2$ converse (Polyanskiy),0.001,1000,-7.2069,0.0820859
$\chi^2$ converse (Polyanskiy),0.001,1000,-6.41379,0.100979
$\chi^2$ converse (Polyanskiy),0.001,1000,-5.62069,0.123435
$\chi^2$ converse (Polyanskiy),0.001,1000,-4.82759,0.149924
$\chi^2$ converse (Polyanskiy),0.001,1000,-4.03448,0.180916
$\chi^2$ converse (Polyanskiy),0.001,1000,-3.24138,0.216871
$\chi^2$ converse (Polyanskiy),0.001,1000,-2.44828,0.258213
$\chi^2$ converse (Polyanskiy),0.001,1000,-1.65517,0.305308
$\chi^2$ converse (Polyanskiy),0.001,1000,-0.862069,0.358448
$\chi^2$ converse (Polyanskiy),0.001,1000,-0.0689655,0.417825
$\chi^2$ converse (Polyanskiy),0.001,1000,0.724138,0.483527
$\chi^2$ converse (Polyanskiy),0.001,1000,1.51724,0.555525
RCU$^+$ achievable (ours),0.001,1000,-8,0.0642634
RCU$^+$ achievable (ours),0.001,1000,-7.2069,0.0800275
RCU$^+$ achievable (ours),0.001,1000,-6.41379,0.0988988
RCU$^+$ achievable (ours),0.001,1000,-5.62069,0.121329
RCU$^+$ achievable (ours),0.001,1000,-4.82759,0.147791
RCU$^+$ achievable (ours),0.001,1000,-4.03448,0.178757
RCU$^+$ achievable (ours),0.001,1000,-3.24138,0.214691
RCU$^+$ achievable (ours),0.001,1000,-2.44828,0.256018
RCU$^+$ achievable (ours),0.001,1000,-1.65517,0.303109
RCU$^+$ achievable (ours),0.001,1000,-0.862069,0.356254
RCU$^+$ achievable (ours),0.001,1000,-0.0689655,0.415647
RCU$^+$ achievable (ours),0.001,1000,0.724138,0.481372
RCU$^+$ achievable (ours),0.001,1000,1.51724,0.553399
RCU$^+$ achievable (ours),0.001,1000,2.31034,0.631586
RCU$^+$ achievable (ours),0.001,1000,3.10345,0.715691
RCU$^+$ achievable (ours),0.001,1000,3.89655,0.805385
RCU$^+$ achievable (ours),0.001,1000,4.68966,0.900279
RCU$^+$ achievable (ours),0.001,1000,5.48276,0.99994
RCU$^+$ achievable (ours),0.001,1000,6.27586,1.10392
RCU$^+$ achievable (ours),0.001,1000,7.06897,1.21175
RCU$^+$ achievable (ours),0.001,1000,7.86207,1.323
