curve,n,rate_bits,snr_db,epsilon
Shannon capacity,1000,0.5,-4,1
Shannon capacity,1000,0.5,-3.26316,1
Shannon capacity,1000,0.5,-2.52632,1
Shannon capacity,1000,0.5,-1.78947,1
Shannon capacity,1000,0.5,-1.05263,1
Shannon capacity,1000,0.5,-0.315789,1
NCT converse (ours),1000,0.5,-4,1
NCT converse (ours),1000,0.5,-3.26316,1
NCT converse (ours),1000,0.5,-2.52632,1
NCT converse (ours),1000,0.5,-1.78947,0.999998
NCT converse (ours),1000,0.5,-1.05263,0.997012
NCT converse (ours),1000,0.5,-0.315789,0.762392
NCT converse (ours),1000,0.5,0.421053,0.0675109
NCT converse (ours),1000,0.5,1.15789,4.99189e-05
NCT converse (ours),1000,0.5,1.89474,4.27577e-11
NCT converse (ours),1000,0.5,2.63158,6.39649e-21
NCT converse (ours),1000,0.5,3.36842,1.97287e-35
NCT converse (ours),1000,0.5,4.10526,1.02141e-55
NCT converse (ours),1000,0.5,4.84211,4.55522e-83
NCT converse (ours),1000,0.5,5.57895,5.1696e-119
NCT converse (ours),1000,0.5,6.31579,2.29281e-165
NCT converse (ours),1000,0.5,7.05263,2.81884e-224
NCT converse (ours),1000,0.5,7.78947,2.73864e-298
RCU$^+$ achievable (ours),1000,0.5,-4,1
RCU$^+$ achievable (ours),1000,0.5,-3.26316,1
RCU$^+$ achievable (ours),1000,0.5,-2.52632,1
RCU$^+$ achievable (ours),1000,0.5,-1.78947,0.991263
RCU$^+$ achievable (ours),1000,0.5,-1.05263,0.954554
RCU$^+$ achievable (ours),1000,0.5,-0.315789,0.777874
RCU$^+$ achievable (ours),1000,0.5,0.421053,0.0749327
RCU$^+$ achievable (ours),1000,0.5,1.15789,6.39154e-05
RCU$^+$ achievable (ours),1000,0.5,1.89474,1.52334e-11
Gallager achievable,1000,0.5,-4,1
Gallager achievable,1000,0.5,-3.26316,1
Gallager achievable,1000,0.5,-2.52632,1
Gallager achievable,1000,0.5,-1.78947,1
Gallager achievable,1000,0.5,-1.05263,1
Gallager achievable,1000,0.5,-0.315789,1
Gallager achievable,1000,0.5,0.421053,1
Gallager achievable,1000,0.5,1.15789,0.0333186
Gallager achievable,1000,0.5,1.89474,1.35585e-07
Gallager achievable,1000,0.5,2.63158,7.9683e-17
Gallager achievable,1000,0.5,3.36842,9.19418e-31
Gallager achievable,1000,0.5,4.10526,1.82578e-50
Gallager achievable,1000,0.5,4.84211,2.42999e-75
Gallager achievable,1000,0.5,5.57895,6.53842e-102
Gallager achievable,1000,0.5,6.31579,6.7561e-130
Gallager achievable,1000,0.5,7.05263,3.82795e-159
Gallager achievable,1000,0.5,7.78947,1.6898e-189
Gallager achievable,1000,0.5,8.52632,8.10027e-221
Gallager achievable,1000,0.5,9.26316,5.71602e-253
Gallager achievable,1000,0.5,10,7.79766e-286
Normal approximation,1000,0.5,-4,1
Normal approximation,1000,0.5,-3.26316,1
Normal approximation,1000,0.5,-2.52632,1
Normal approximation,1000,0.5,-1.78947,1
Normal approximation,1000,0.5,-1.05263,0.998058
Normal approximation,1000,0.5,-0.315789,0.774169
Normal approximation,1000,0.5,0.421053,0.0752402
Normal approximation,1000,0.5,1.15789,0.000108005
Normal approximation,1000,0.5,1.89474,7.44582e-10
Normal approximation,1000,0.5,2.63158,1.06635e-17
Normal approximation,1000,0.5,3.36842,1.37868e-28
Normal approximation,1000,0.5,4.10526,6.76252e-43
Normal approximation,1000,0.5,4.84211,5.18737e-61
Normal approximation,1000,0.5,5.57895,2.58341e-83
Normal approximation,1000,0.5,6.31579,3.59075e-110
Normal approximation,1000,0.5,7.05263,6.3509e-142
Normal approximation,1000,0.5,7.78947,7.03855e-179
Normal approximation,1000,0.5,8.52632,2.62868e-221
Normal approximation,1000,0.5,9.26316,1.95163e-269
