curve,n,rate_bits,snr_db,epsilon
NCT converse (ours),500,0.1,-4,5.96138e-09
NCT converse (ours),500,0.1,-3.26316,2.45046e-12
NCT converse (ours),500,0.1,-2.52632,9.9534e-17
NCT converse (ours),500,0.1,-1.78947,2.38939e-22
NCT converse (ours),500,0.1,-1.05263,1.83367e-29
NCT converse (ours),500,0.1,-0.315789,2.15835e-38
NCT converse (ours),500,0.1,0.421053,1.62068e-49
NCT converse (ours),500,0.1,1.15789,2.72422e-63
NCT converse (ours),500,0.1,1.89474,2.93908e-80
NCT converse (ours),500,0.1,2.63158,4.59027e-101
NCT converse (ours),500,0.1,3.36842,1.76041e-126
NCT converse (ours),500,0.1,4.10526,2.00537e-157
NCT converse (ours),500,0.1,4.84211,5.49619e-195
NCT converse (ours),500,0.1,5.57895,1.82461e-240
RCU+ achievable (ours),500,0.1,-4,2.18152e-08
RCU+ achievable (ours),500,0.1,-3.26316,7.62391e-12
RCU+ achievable (ours),500,0.1,-2.52632,3.40421e-17
Gallager achievable (avg err),500,0.1,-4,1.62878e-05
Gallager achievable (avg err),500,0.1,-3.26316,1.60382e-08
Gallager achievable (avg err),500,0.1,-2.52632,1.72022e-12
Gallager achievable (avg err),500,0.1,-1.78947,3.30833e-17
Gallager achievable (avg err),500,0.1,-1.05263,1.23885e-22
Gallager achievable (avg err),500,0.1,-0.315789,7.70293e-29
Gallager achievable (avg err),500,0.1,0.421053,6.88947e-36
Gallager achievable (avg err),500,0.1,1.15789,7.88754e-44
Gallager achievable (avg err),500,0.1,1.89474,1.06852e-52
Gallager achievable (avg err),500,0.1,2.63158,1.65998e-62
Gallager achievable (avg err),500,0.1,3.36842,3.01998e-73
Gallager achievable (avg err),500,0.1,4.10526,6.91706e-85
Gallager achievable (avg err),500,0.1,4.84211,2.24234e-97
Gallager achievable (avg err),500,0.1,5.57895,1.19593e-110
Gallager achievable (avg err),500,0.1,6.31579,1.24484e-124
Gallager achievable (avg err),500,0.1,7.05263,3.02322e-139
Gallager achievable (avg err),500,0.1,7.78947,2.04293e-154
Gallager achievable (avg err),500,0.1,8.52632,4.53687e-170
Gallager achievable (avg err),500,0.1,9.26316,3.8568e-186
Gallager achievable (avg err),500,0.1,10,1.43878e-202
Normal approximation,500,0.1,-4,1.14122e-06
Normal approximation,500,0.1,-3.26316,1.02299e-08
Normal approximation,500,0.1,-2.52632,2.87388e-11
Normal approximation,500,0.1,-1.78947,1.99773e-14
Normal approximation,500,0.1,-1.05263,2.5976e-18
Normal approximation,500,0.1,-0.315789,4.56431e-23
Normal approximation,500,0.1,0.421053,7.48472e-29
Normal approximation,500,0.1,1.15789,7.58584e-36
Normal approximation,500,0.1,1.89474,3.03699e-44
Normal approximation,500,0.1,2.63158,2.99058e-54
Normal approximation,500,0.1,3.36842,4.44814e-66
Normal approximation,500,0.1,4.10526,6.13735e-80
Normal approximation,500,0.1,4.84211,4.89459e-96
Normal approximation,500,0.1,5.57895,1.44564e-114
Normal approximation,500,0.1,6.31579,1.05364e-135
Normal approximation,500,0.1,7.05263,1.32379e-159
Normal approximation,500,0.1,7.78947,2.1094e-186
Normal approximation,500,0.1,8.52632,3.30677e-216
Normal approximation,500,0.1,9.26316,4.1631e-249
Normal approximation,500,0.1,10,3.60101e-285
