curve,n,rate_bits,snr_db,epsilon
Shannon capacity,1000,0.3,-4,1
Shannon capacity,1000,0.3,-3.26316,1
NCT converse (ours),1000,0.3,-4,0.987233
NCT converse (ours),1000,0.3,-3.26316,0.743168
NCT converse (ours),1000,0.3,-2.52632,0.14346
NCT converse (ours),1000,0.3,-1.78947,0.00167959
NCT converse (ours),1000,0.3,-1.05263,3.46307e-07
NCT converse (ours),1000,0.3,-0.315789,3.73036e-13
NCT converse (ours),1000,0.3,0.421053,5.3565e-22
NCT converse (ours),1000,0.3,1.15789,2.06109e-34
NCT converse (ours),1000,0.3,1.89474,3.15504e-51
NCT converse (ours),1000,0.3,2.63158,1.97599e-73
NCT converse (ours),1000,0.3,3.36842,3.35974e-102
NCT converse (ours),1000,0.3,4.10526,6.11646e-139
NCT converse (ours),1000,0.3,4.84211,2.53939e-185
NCT converse (ours),1000,0.3,5.57895,2.47104e-243
RCU$^+$ achievable (ours),1000,0.3,-4,0.938258
RCU$^+$ achievable (ours),1000,0.3,-3.26316,0.76153
RCU$^+$ achievable (ours),1000,0.3,-2.52632,0.157958
RCU$^+$ achievable (ours),1000,0.3,-1.78947,0.00208128
RCU$^+$ achievable (ours),1000,0.3,-1.05263,5.06261e-07
RCU$^+$ achievable (ours),1000,0.3,-0.315789,3.83233e-16
Gallager achievable,1000,0.3,-4,1
Gallager achievable,1000,0.3,-3.26316,1
Gallager achievable,1000,0.3,-2.52632,1
Gallager achievable,1000,0.3,-1.78947,0.470968
Gallager achievable,1000,0.3,-1.05263,0.000411111
Gallager achievable,1000,0.3,-0.315789,1.55762e-09
Gallager achievable,1000,0.3,0.421053,7.31931e-18
Gallager achievable,1000,0.3,1.15789,9.14339e-30
Gallager achievable,1000,0.3,1.89474,4.7095e-46
Gallager achievable,1000,0.3,2.63158,1.03521e-65
Gallager achievable,1000,0.3,3.36842,3.15076e-87
Gallager achievable,1000,0.3,4.10526,1.53491e-110
Gallager achievable,1000,0.3,4.84211,1.51219e-135
Gallager achievable,1000,0.3,5.57895,4.06887e-162
Gallager achievable,1000,0.3,6.31579,4.20433e-190
Gallager achievable,1000,0.3,7.05263,2.38214e-219
Gallager achievable,1000,0.3,7.78947,1.05156e-249
Gallager achievable,1000,0.3,8.52632,5.04081e-281
Gallager achievable,1000,0.3,9.26316,3.55709e-313
Normal approximation,1000,0.3,-4,0.990942
Normal approximation,1000,0.3,-3.26316,0.754026
Normal approximation,1000,0.3,-2.52632,0.153631
Normal approximation,1000,0.3,-1.78947,0.00273987
Normal approximation,1000,0.3,-1.05263,2.13751e-06
Normal approximation,1000,0.3,-0.315789,4.1212e-11
Normal approximation,1000,0.3,0.421053,1.0653e-17
Normal approximation,1000,0.3,1.15789,1.8423e-26
Normal approximation,1000,0.3,1.89474,9.74666e-38
Normal approximation,1000,0.3,2.63158,6.69167e-52
Normal approximation,1000,0.3,3.36842,2.39721e-69
Normal approximation,1000,0.3,4.10526,1.75462e-90
Normal approximation,1000,0.3,4.84211,1.03082e-115
Normal approximation,1000,0.3,5.57895,1.97243e-145
Normal approximation,1000,0.3,6.31579,5.28776e-180
Normal approximation,1000,0.3,7.05263,9.24269e-220
Normal approximation,1000,0.3,7.78947,5.37608e-265
