curve,n,rate_bits,snr_db,epsilon
Shannon capacity,100,0.3,-4,1
Shannon capacity,100,0.3,-3.26316,1
NCT converse (ours),100,0.3,-4,0.604738
NCT converse (ours),100,0.3,-3.26316,0.405183
NCT converse (ours),100,0.3,-2.52632,0.214831
NCT converse (ours),100,0.3,-1.78947,0.0826242
NCT converse (ours),100,0.3,-1.05263,0.0207902
NCT converse (ours),100,0.3,-0.315789,0.00303067
NCT converse (ours),100,0.3,0.421053,0.000221747
NCT converse (ours),100,0.3,1.15789,6.87268e-06
NCT converse (ours),100,0.3,1.89474,7.37796e-08
NCT converse (ours),100,0.3,2.63158,2.15989e-10
NCT converse (ours),100,0.3,3.36842,1.29754e-13
NCT converse (ours),100,0.3,4.10526,1.14063e-17
NCT converse (ours),100,0.3,4.84211,9.81571e-23
NCT converse (ours),100,0.3,5.57895,5.12876e-29
NCT converse (ours),100,0.3,6.31579,9.22768e-37
NCT converse (ours),100,0.3,7.05263,2.91639e-46
NCT converse (ours),100,0.3,7.78947,7.28754e-58
NCT converse (ours),100,0.3,8.52632,5.58904e-72
NCT converse (ours),100,0.3,9.26316,4.28716e-89
NCT converse (ours),100,0.3,10,8.71572e-110
RCU$^+$ achievable (ours),100,0.3,-4,0.671546
RCU$^+$ achievable (ours),100,0.3,-3.26316,0.479588
RCU$^+$ achievable (ours),100,0.3,-2.52632,0.278193
RCU$^+$ achievable (ours),100,0.3,-1.78947,0.121033
RCU$^+$ achievable (ours),100,0.3,-1.05263,0.036037
RCU$^+$ achievable (ours),100,0.3,-0.315789,0.00663313
RCU$^+$ achievable (ours),100,0.3,0.421053,0.000678328
RCU$^+$ achievable (ours),100,0.3,1.15789,3.49311e-05
RCU$^+$ achievable (ours),100,0.3,1.89474,8.53374e-07
RCU$^+$ achievable (ours),100,0.3,2.63158,9.99179e-09
RCU$^+$ achievable (ours),100,0.3,3.36842,5.3592e-11
RCU$^+$ achievable (ours),100,0.3,4.10526,1.05885e-13
Gallager achievable,100,0.3,-4,1
Gallager achievable,100,0.3,-3.26316,1
Gallager achievable,100,0.3,-2.52632,1
Gallager achievable,100,0.3,-1.78947,1
Gallager achievable,100,0.3,-1.05263,1
Gallager achievable,100,0.3,-0.315789,1
Gallager achievable,100,0.3,0.421053,0.22729
Gallager achievable,100,0.3,1.15789,0.0173351
Gallager achievable,100,0.3,1.89474,0.000472456
Gallager achievable,100,0.3,2.63158,5.53789e-06
Gallager achievable,100,0.3,3.36842,4.1998e-08
Gallager achievable,100,0.3,4.10526,2.08972e-10
Gallager achievable,100,0.3,4.84211,6.98333e-13
Gallager achievable,100,0.3,5.57895,1.61564e-15
Gallager achievable,100,0.3,6.31579,2.6791e-18
Gallager achievable,100,0.3,7.05263,3.30207e-21
Gallager achievable,100,0.3,7.78947,3.1357e-24
Gallager achievable,100,0.3,8.52632,2.37347e-27
Gallager achievable,100,0.3,9.26316,1.47727e-30
Gallager achievable,100,0.3,10,7.77446e-34
Normal approximation,100,0.3,-4,0.637306
Normal approximation,100,0.3,-3.26316,0.436465
Normal approximation,100,0.3,-2.52632,0.247094
Normal approximation,100,0.3,-1.78947,0.110328
Normal approximation,100,0.3,-1.05263,0.0368847
Normal approximation,100,0.3,-0.315789,0.00870636
Normal approximation,100,0.3,0.421053,0.00135728
Normal approximation,100,0.3,1.15789,0.000129638
Normal approximation,100,0.3,1.89474,6.98221e-06
Normal approximation,100,0.3,2.63158,1.93907e-07
Normal approximation,100,0.3,3.36842,2.5278e-09
Normal approximation,100,0.3,4.10526,1.40556e-11
Normal approximation,100,0.3,4.84211,3.03215e-14
Normal approximation,100,0.3,5.57895,2.31708e-17
Normal approximation,100,0.3,6.31579,5.76289e-21
Normal approximation,100,0.3,7.05263,4.32151e-25
Normal approximation,100,0.3,7.78947,9.13756e-30
Normal approximation,100,0.3,8.52632,5.14628e-35
Normal approximation,100,0.3,9.26316,7.36607e-41
Normal approximation,100,0.3,10,2.58087e-47
