curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.01,500,-4,0.241737
Shannon capacity,0.01,500,-3.36842,0.273194
Shannon capacity,0.01,500,-2.73684,0.307941
Shannon capacity,0.01,500,-2.10526,0.346146
Shannon capacity,0.01,500,-1.47368,0.387946
Shannon capacity,0.01,500,-0.842105,0.43345
Shannon capacity,0.01,500,-0.210526,0.482728
Shannon capacity,0.01,500,0.421053,0.535815
Shannon capacity,0.01,500,1.05263,0.592703
Shannon capacity,0.01,500,1.68421,0.653347
Shannon capacity,0.01,500,2.31579,0.717662
Shannon capacity,0.01,500,2.94737,0.78553
Shannon capacity,0.01,500,3.57895,0.856802
Shannon capacity,0.01,500,4.21053,0.931305
Shannon capacity,0.01,500,4.84211,1.00885
Shannon capacity,0.01,500,5.47368,1.08923
Shannon capacity,0.01,500,6.10526,1.17224
Shannon capacity,0.01,500,6.73684,1.25765
Shannon capacity,0.01,500,7.36842,1.34528
Shannon capacity,0.01,500,8,1.43489
NCT converse (ours),0.01,500,-4,0.182192
NCT converse (ours),0.01,500,-3.36842,0.210428
NCT converse (ours),0.01,500,-2.73684,0.242046
NCT converse (ours),0.01,500,-2.10526,0.277244
NCT converse (ours),0.01,500,-1.47368,0.31619
NCT converse (ours),0.01,500,-0.842105,0.359016
NCT converse (ours),0.01,500,-0.210526,0.405817
NCT converse (ours),0.01,500,0.421053,0.456638
NCT converse (ours),0.01,500,1.05263,0.511481
NCT converse (ours),0.01,500,1.68421,0.570301
NCT converse (ours),0.01,500,2.31579,0.633008
NCT converse (ours),0.01,500,2.94737,0.699474
NCT converse (ours),0.01,500,3.57895,0.769536
NCT converse (ours),0.01,500,4.21053,0.843003
NCT converse (ours),0.01,500,4.84211,0.919664
NCT converse (ours),0.01,500,5.47368,0.999295
NCT converse (ours),0.01,500,6.10526,1.08167
NCT converse (ours),0.01,500,6.73684,1.16655
NCT converse (ours),0.01,500,7.36842,1.25371
NCT converse (ours),0.01,500,8,1.34293
$\chi^2$ converse (Polyanskiy),0.01,500,-4,0.182795
$\chi^2$ converse (Polyanskiy),0.01,500,-3.36842,0.211064
$\chi^2$ converse (Polyanskiy),0.01,500,-2.73684,0.242709
$\chi^2$ converse (Polyanskiy),0.01,500,-2.10526,0.277927
$\chi^2$ converse (Polyanskiy),0.01,500,-1.47368,0.316886
$\chi^2$ converse (Polyanskiy),0.01,500,-0.842105,0.359719
$\chi^2$ converse (Polyanskiy),0.01,500,-0.210526,0.406519
$\chi^2$ converse (Polyanskiy),0.01,500,0.421053,0.457334
