curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.01,50,-4,0.241737
Shannon capacity,0.01,50,-3.36842,0.273194
Shannon capacity,0.01,50,-2.73684,0.307941
Shannon capacity,0.01,50,-2.10526,0.346146
Shannon capacity,0.01,50,-1.47368,0.387946
Shannon capacity,0.01,50,-0.842105,0.43345
Shannon capacity,0.01,50,-0.210526,0.482728
Shannon capacity,0.01,50,0.421053,0.535815
Shannon capacity,0.01,50,1.05263,0.592703
Shannon capacity,0.01,50,1.68421,0.653347
Shannon capacity,0.01,50,2.31579,0.717662
Shannon capacity,0.01,50,2.94737,0.78553
Shannon capacity,0.01,50,3.57895,0.856802
Shannon capacity,0.01,50,4.21053,0.931305
Shannon capacity,0.01,50,4.84211,1.00885
Shannon capacity,0.01,50,5.47368,1.08923
Shannon capacity,0.01,50,6.10526,1.17224
Shannon capacity,0.01,50,6.73684,1.25765
Shannon capacity,0.01,50,7.36842,1.34528
Shannon capacity,0.01,50,8,1.43489
NCT converse (ours),0.01,50,-4,0.111843
NCT converse (ours),0.01,50,-3.36842,0.133595
NCT converse (ours),0.01,50,-2.73684,0.158773
NCT converse (ours),0.01,50,-2.10526,0.18767
NCT converse (ours),0.01,50,-1.47368,0.220543
NCT converse (ours),0.01,50,-0.842105,0.257606
NCT converse (ours),0.01,50,-0.210526,0.299017
NCT converse (ours),0.01,50,0.421053,0.344871
NCT converse (ours),0.01,50,1.05263,0.395198
NCT converse (ours),0.01,50,1.68421,0.449961
NCT converse (ours),0.01,50,2.31579,0.509058
NCT converse (ours),0.01,50,2.94737,0.572333
NCT converse (ours),0.01,50,3.57895,0.639585
NCT converse (ours),0.01,50,4.21053,0.710573
NCT converse (ours),0.01,50,4.84211,0.785037
NCT converse (ours),0.01,50,5.47368,0.8627
NCT converse (ours),0.01,50,6.10526,0.943282
NCT converse (ours),0.01,50,6.73684,1.02651
NCT converse (ours),0.01,50,7.36842,1.11211
NCT converse (ours),0.01,50,8,1.19983
$\chi^2$ converse (Polyanskiy),0.01,50,-4,0.116372
$\chi^2$ converse (Polyanskiy),0.01,50,-3.36842,0.138516
$\chi^2$ converse (Polyanskiy),0.01,50,-2.73684,0.164043
$\chi^2$ converse (Polyanskiy),0.01,50,-2.10526,0.193229
$\chi^2$ converse (Polyanskiy),0.01,50,-1.47368,0.226322
$\chi^2$ converse (Polyanskiy),0.01,50,-0.842105,0.263529
$\chi^2$ converse (Polyanskiy),0.01,50,-0.210526,0.305007
$\chi^2$ converse (Polyanskiy),0.01,50,0.421053,0.350859
$\chi^2$ converse (Polyanskiy),0.01,50,1.05263,0.40113
$\chi^2$ converse (Polyanskiy),0.01,50,1.68421,0.455803
$\chi^2$ converse (Polyanskiy),0.01,50,2.31579,0.514803
$\chi^2$ converse (Polyanskiy),0.01,50,2.94737,0.578002
$\chi^2$ converse (Polyanskiy),0.01,50,3.57895,0.645228
$\chi^2$ converse (Polyanskiy),0.01,50,4.21053,0.716267
$\chi^2$ converse (Polyanskiy),0.01,50,4.84211,0.79088
$\chi^2$ converse (Polyanskiy),0.01,50,5.47368,0.86881
$\chi^2$ converse (Polyanskiy),0.01,50,6.10526,0.949789
$\chi^2$ converse (Polyanskiy),0.01,50,6.73684,1.03355
$\chi^2$ converse (Polyanskiy),0.01,50,7.36842,1.11982
$\chi^2$ converse (Polyanskiy),0.01,50,8,1.20836
RCU$^+$ achievable (ours),0.01,50,-4,0.0654945
