curve,epsilon,n,snr_db,rate_bits
Normal approximation,0.001,100,1.68421,0.398226
Normal approximation,0.001,100,2.31579,0.457977
Normal approximation,0.001,100,2.94737,0.521893
Normal approximation,0.001,100,3.57895,0.589785
Normal approximation,0.001,100,4.21053,0.66143
Normal approximation,0.001,100,4.84211,0.736586
Normal approximation,0.001,100,5.47368,0.814991
Normal approximation,0.001,100,6.10526,0.89638
Normal approximation,0.001,100,6.73684,0.980487
Normal approximation,0.001,100,7.36842,1.06705
Normal approximation,0.001,100,8,1.15583
