curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.01,100,-4,0.241737
Shannon capacity,0.01,100,-3.36842,0.273194
Shannon capacity,0.01,100,-2.73684,0.307941
Shannon capacity,0.01,100,-2.10526,0.346146
Shannon capacity,0.01,100,-1.47368,0.387946
Shannon capacity,0.01,100,-0.842105,0.43345
Shannon capacity,0.01,100,-0.210526,0.482728
Shannon capacity,0.01,100,0.421053,0.535815
Shannon capacity,0.01,100,1.05263,0.592703
Shannon capacity,0.01,100,1.68421,0.653347
Shannon capacity,0.01,100,2.31579,0.717662
Shannon capacity,0.01,100,2.94737,0.78553
Shannon capacity,0.01,100,3.57895,0.856802
Shannon capacity,0.01,100,4.21053,0.931305
Shannon capacity,0.01,100,4.84211,1.00885
Shannon capacity,0.01,100,5.47368,1.08923
Shannon capacity,0.01,100,6.10526,1.17224
Shannon capacity,0.01,100,6.73684,1.25765
Shannon capacity,0.01,100,7.36842,1.34528
Shannon capacity,0.01,100,8,1.43489
NCT converse (ours),0.01,100,-4,0.135001
NCT converse (ours),0.01,100,-3.36842,0.159363
NCT converse (ours),0.01,100,-2.73684,0.187165
NCT converse (ours),0.01,100,-2.10526,0.218654
NCT converse (ours),0.01,100,-1.47368,0.254043
NCT converse (ours),0.01,100,-0.842105,0.293509
NCT converse (ours),0.01,100,-0.210526,0.337177
NCT converse (ours),0.01,100,0.421053,0.385117
NCT converse (ours),0.01,100,1.05263,0.437346
NCT converse (ours),0.01,100,1.68421,0.49382
NCT converse (ours),0.01,100,2.31579,0.554443
NCT converse (ours),0.01,100,2.94737,0.619072
NCT converse (ours),0.01,100,3.57895,0.687523
NCT converse (ours),0.01,100,4.21053,0.759579
NCT converse (ours),0.01,100,4.84211,0.835002
NCT converse (ours),0.01,100,5.47368,0.91354
NCT converse (ours),0.01,100,6.10526,0.994934
NCT converse (ours),0.01,100,6.73684,1.07893
NCT converse (ours),0.01,100,7.36842,1.16527
NCT converse (ours),0.01,100,8,1.25373
$\chi^2$ converse (Polyanskiy),0.01,100,-4,0.137552
$\chi^2$ converse (Polyanskiy),0.01,100,-3.36842,0.162101
$\chi^2$ converse (Polyanskiy),0.01,100,-2.73684,0.190064
$\chi^2$ converse (Polyanskiy),0.01,100,-2.10526,0.221682
$\chi^2$ converse (Polyanskiy),0.01,100,-1.47368,0.257166
$\chi^2$ converse (Polyanskiy),0.01,100,-0.842105,0.296688
$\chi^2$ converse (Polyanskiy),0.01,100,-0.210526,0.340375
$\chi^2$ converse (Polyanskiy),0.01,100,0.421053,0.388304
$\chi^2$ converse (Polyanskiy),0.01,100,1.05263,0.440497
$\chi^2$ converse (Polyanskiy),0.01,100,1.68421,0.496924
$\chi^2$ converse (Polyanskiy),0.01,100,2.31579,0.557501
$\chi^2$ converse (Polyanskiy),0.01,100,2.94737,0.622098
$\chi^2$ converse (Polyanskiy),0.01,100,3.57895,0.690544
$\chi^2$ converse (Polyanskiy),0.01,100,4.21053,0.762637
$\chi^2$ converse (Polyanskiy),0.01,100,4.84211,0.838148
$\chi^2$ converse (Polyanskiy),0.01,100,5.47368,0.916833
$\chi^2$ converse (Polyanskiy),0.01,100,6.10526,0.99844
$\chi^2$ converse (Polyanskiy),0.01,100,6.73684,1.08272
$\chi^2$ converse (Polyanskiy),0.01,100,7.36842,1.16941
$\chi^2$ converse (Polyanskiy),0.01,100,8,1.25829
RCU$^+$ achievable (ours),0.01,100,-4,0.115126
RCU$^+$ achievable (ours),0.01,100,-3.36842,0.139843
RCU$^+$ achievable (ours),0.01,100,-2.73684,0.167953
RCU$^+$ achievable (ours),0.01,100,-2.10526,0.19971
RCU$^+$ achievable (ours),0.01,100,-1.47368,0.235332
RCU$^+$ achievable (ours),0.01,100,-0.842105,0.274997
