curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.001,500,-4,0.241737
Shannon capacity,0.001,500,-3.36842,0.273194
Shannon capacity,0.001,500,-2.73684,0.307941
Shannon capacity,0.001,500,-2.10526,0.346146
Shannon capacity,0.001,500,-1.47368,0.387946
Shannon capacity,0.001,500,-0.842105,0.43345
Shannon capacity,0.001,500,-0.210526,0.482728
Shannon capacity,0.001,500,0.421053,0.535815
Shannon capacity,0.001,500,1.05263,0.592703
Shannon capacity,0.001,500,1.68421,0.653347
Shannon capacity,0.001,500,2.31579,0.717662
Shannon capacity,0.001,500,2.94737,0.78553
Shannon capacity,0.001,500,3.57895,0.856802
Shannon capacity,0.001,500,4.21053,0.931305
Shannon capacity,0.001,500,4.84211,1.00885
Shannon capacity,0.001,500,5.47368,1.08923
Shannon capacity,0.001,500,6.10526,1.17224
Shannon capacity,0.001,500,6.73684,1.25765
Shannon capacity,0.001,500,7.36842,1.34528
Shannon capacity,0.001,500,8,1.43489
NCT converse (ours),0.001,500,-4,0.161615
NCT converse (ours),0.001,500,-3.36842,0.188637
NCT converse (ours),0.001,500,-2.73684,0.219073
NCT converse (ours),0.001,500,-2.10526,0.253133
NCT converse (ours),0.001,500,-1.47368,0.290997
NCT converse (ours),0.001,500,-0.842105,0.33281
NCT converse (ours),0.001,500,-0.210526,0.378671
NCT converse (ours),0.001,500,0.421053,0.428636
NCT converse (ours),0.001,500,1.05263,0.482707
NCT converse (ours),0.001,500,1.68421,0.540843
NCT converse (ours),0.001,500,2.31579,0.602951
NCT converse (ours),0.001,500,2.94737,0.668899
NCT converse (ours),0.001,500,3.57895,0.73852
NCT converse (ours),0.001,500,4.21053,0.811615
NCT converse (ours),0.001,500,4.84211,0.887967
NCT converse (ours),0.001,500,5.47368,0.967344
NCT converse (ours),0.001,500,6.10526,1.04951
NCT converse (ours),0.001,500,6.73684,1.13422
NCT converse (ours),0.001,500,7.36842,1.22125
NCT converse (ours),0.001,500,8,1.31036
$\chi^2$ converse (Polyanskiy),0.001,500,-4,0.162628
$\chi^2$ converse (Polyanskiy),0.001,500,-3.36842,0.189711
$\chi^2$ converse (Polyanskiy),0.001,500,-2.73684,0.220196
$\chi^2$ converse (Polyanskiy),0.001,500,-2.10526,0.254291
$\chi^2$ converse (Polyanskiy),0.001,500,-1.47368,0.292176
$\chi^2$ converse (Polyanskiy),0.001,500,-0.842105,0.333994
$\chi^2$ converse (Polyanskiy),0.001,500,-0.210526,0.379847
$\chi^2$ converse (Polyanskiy),0.001,500,0.421053,0.429789
$\chi^2$ converse (Polyanskiy),0.001,500,1.05263,0.483828
$\chi^2$ converse (Polyanskiy),0.001,500,1.68421,0.541923
$\chi^2$ converse (Polyanskiy),0.001,500,2.31579,0.603987
$\chi^2$ converse (Polyanskiy),0.001,500,2.94737,0.669893
$\chi^2$ converse (Polyanskiy),0.001,500,3.57895,0.739475
$\chi^2$ converse (Polyanskiy),0.001,500,4.21053,0.812542
$\chi^2$ converse (Polyanskiy),0.001,500,4.84211,0.888877
$\chi^2$ converse (Polyanskiy),0.001,500,5.47368,0.968251
$\chi^2$ converse (Polyanskiy),0.001,500,6.10526,1.05043
$\chi^2$ converse (Polyanskiy),0.001,500,6.73684,1.13517
RCU$^+$ achievable (ours),0.001,500,-4,0.158143
RCU$^+$ achievable (ours),0.001,500,-3.36842,0.185204
RCU$^+$ achievable (ours),0.001,500,-2.73684,0.215674
RCU$^+$ achievable (ours),0.001,500,-2.10526,0.249762
RCU$^+$ achievable (ours),0.001,500,-1.47368,0.287651
RCU$^+$ achievable (ours),0.001,500,-0.842105,0.329484
RCU$^+$ achievable (ours),0.001,500,-0.210526,0.375363
RCU$^+$ achievable (ours),0.001,500,0.421053,0.425342
RCU$^+$ achievable (ours),0.001,500,1.05263,0.479426
RCU$^+$ achievable (ours),0.001,500,1.68421,0.537572
RCU$^+$ achievable (ours),0.001,500,2.31579,0.599689
RCU$^+$ achievable (ours),0.001,500,2.94737,0.665645
RCU$^+$ achievable (ours),0.001,500,3.57895,0.735271
RCU$^+$ achievable (ours),0.001,500,4.21053,0.808371
RCU$^+$ achievable (ours),0.001,500,4.84211,0.884727
RCU$^+$ achievable (ours),0.001,500,5.47368,0.964107
RCU$^+$ achievable (ours),0.001,500,6.10526,1.04627
RCU$^+$ achievable (ours),0.001,500,6.73684,1.13099
RCU$^+$ achievable (ours),0.001,500,7.36842,1.21802
RCU$^+$ achievable (ours),0.001,500,8,1.30713
Gallager achievable,0.001,500,-4,0.119305
Gallager achievable,0.001,500,-3.36842,0.143383
Gallager achievable,0.001,500,-2.73684,0.170905
Gallager achievable,0.001,500,-2.10526,0.202102
Gallager achievable,0.001,500,-1.47368,0.237186
Gallager achievable,0.001,500,-0.842105,0.276356
