curve,epsilon,n,snr_db,rate_bits
Shannon capacity,1e-06,1000,-4,0.241737
Shannon capacity,1e-06,1000,-3.36842,0.273194
Shannon capacity,1e-06,1000,-2.73684,0.307941
Shannon capacity,1e-06,1000,-2.10526,0.346146
Shannon capacity,1e-06,1000,-1.47368,0.387946
Shannon capacity,1e-06,1000,-0.842105,0.43345
Shannon capacity,1e-06,1000,-0.210526,0.482728
Shannon capacity,1e-06,1000,0.421053,0.535815
Shannon capacity,1e-06,1000,1.05263,0.592703
Shannon capacity,1e-06,1000,1.68421,0.653347
Shannon capacity,1e-06,1000,2.31579,0.717662
Shannon capacity,1e-06,1000,2.94737,0.78553
Shannon capacity,1e-06,1000,3.57895,0.856802
Shannon capacity,1e-06,1000,4.21053,0.931305
Shannon capacity,1e-06,1000,4.84211,1.00885
Shannon capacity,1e-06,1000,5.47368,1.08923
Shannon capacity,1e-06,1000,6.10526,1.17224
Shannon capacity,1e-06,1000,6.73684,1.25765
Shannon capacity,1e-06,1000,7.36842,1.34528
Shannon capacity,1e-06,1000,8,1.43489
NCT converse (ours),1e-06,1000,-4,0.150438
NCT converse (ours),1e-06,1000,-3.36842,0.176907
NCT converse (ours),1e-06,1000,-2.73684,0.206808
NCT converse (ours),1e-06,1000,-2.10526,0.240356
NCT converse (ours),1e-06,1000,-1.47368,0.277735
NCT converse (ours),1e-06,1000,-0.842105,0.319094
NCT converse (ours),1e-06,1000,-0.210526,0.364539
NCT converse (ours),1e-06,1000,0.421053,0.414125
NCT converse (ours),1e-06,1000,1.05263,0.46786
NCT converse (ours),1e-06,1000,1.68421,0.525699
NCT converse (ours),1e-06,1000,2.31579,0.587552
NCT converse (ours),1e-06,1000,2.94737,0.653286
NCT converse (ours),1e-06,1000,3.57895,0.722729
NCT converse (ours),1e-06,1000,4.21053,0.795683
NCT converse (ours),1e-06,1000,4.84211,0.871926
NCT converse (ours),1e-06,1000,5.47368,0.951223
NCT converse (ours),1e-06,1000,6.10526,1.03333
RCU+ achievable (ours),1e-06,1000,-4,0.148641
RCU+ achievable (ours),1e-06,1000,-3.36842,0.175138
RCU+ achievable (ours),1e-06,1000,-2.73684,0.205061
RCU+ achievable (ours),1e-06,1000,-2.10526,0.238628
RCU+ achievable (ours),1e-06,1000,-1.47368,0.276023
RCU+ achievable (ours),1e-06,1000,-0.842105,0.317396
RCU+ achievable (ours),1e-06,1000,-0.210526,0.362852
RCU+ achievable (ours),1e-06,1000,0.421053,0.412448
RCU+ achievable (ours),1e-06,1000,1.05263,0.46619
RCU+ achievable (ours),1e-06,1000,1.68421,0.524036
RCU+ achievable (ours),1e-06,1000,2.31579,0.585895
RCU+ achievable (ours),1e-06,1000,2.94737,0.651633
RCU+ achievable (ours),1e-06,1000,3.57895,0.72108
RCU+ achievable (ours),1e-06,1000,4.21053,0.794037
RCU+ achievable (ours),1e-06,1000,4.84211,0.870282
RCU+ achievable (ours),1e-06,1000,5.47368,0.949582
RCU+ achievable (ours),1e-06,1000,6.10526,1.03169
Gallager achievable (avg err),1e-06,1000,-4,0.126549
Gallager achievable (avg err),1e-06,1000,-3.36842,0.15137
Gallager achievable (avg err),1e-06,1000,-2.73684,0.179626
Gallager achievable (avg err),1e-06,1000,-2.10526,0.211566
Gallager achievable (avg err),1e-06,1000,-1.47368,0.247391
Gallager achievable (avg err),1e-06,1000,-0.842105,0.287256
Gallager achievable (avg err),1e-06,1000,-0.210526,0.331286
Gallager achievable (avg err),1e-06,1000,0.421053,0.37959
Gallager achievable (avg err),1e-06,1000,1.05263,0.432119
Gallager achievable (avg err),1e-06,1000,1.68421,0.488854
Gallager achievable (avg err),1e-06,1000,2.31579,0.549767
Gallager achievable (avg err),1e-06,1000,2.94737,0.614654
