curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.01,1000,-4,0.241737
Shannon capacity,0.01,1000,-3.36842,0.273194
Shannon capacity,0.01,1000,-2.73684,0.307941
Shannon capacity,0.01,1000,-2.10526,0.346146
Shannon capacity,0.01,1000,-1.47368,0.387946
Shannon capacity,0.01,1000,-0.842105,0.43345
Shannon capacity,0.01,1000,-0.210526,0.482728
Shannon capacity,0.01,1000,0.421053,0.535815
Shannon capacity,0.01,1000,1.05263,0.592703
Shannon capacity,0.01,1000,1.68421,0.653347
Shannon capacity,0.01,1000,2.31579,0.717662
Shannon capacity,0.01,1000,2.94737,0.78553
Shannon capacity,0.01,1000,3.57895,0.856802
Shannon capacity,0.01,1000,4.21053,0.931305
Shannon capacity,0.01,1000,4.84211,1.00885
Shannon capacity,0.01,1000,5.47368,1.08923
Shannon capacity,0.01,1000,6.10526,1.17224
Shannon capacity,0.01,1000,6.73684,1.25765
Shannon capacity,0.01,1000,7.36842,1.34528
Shannon capacity,0.01,1000,8,1.43489
NCT converse (ours),0.01,1000,-4,0.197158
NCT converse (ours),0.01,1000,-3.36842,0.226342
NCT converse (ours),0.01,1000,-2.73684,0.258883
NCT converse (ours),0.01,1000,-2.10526,0.29497
NCT converse (ours),0.01,1000,-1.47368,0.334763
NCT converse (ours),0.01,1000,-0.842105,0.378385
NCT converse (ours),0.01,1000,-0.210526,0.425924
NCT converse (ours),0.01,1000,0.421053,0.477421
NCT converse (ours),0.01,1000,1.05263,0.532876
NCT converse (ours),0.01,1000,1.68421,0.592243
NCT converse (ours),0.01,1000,2.31579,0.655433
NCT converse (ours),0.01,1000,2.94737,0.722322
NCT converse (ours),0.01,1000,3.57895,0.792752
NCT converse (ours),0.01,1000,4.21053,0.866536
NCT converse (ours),0.01,1000,4.84211,0.94347
NCT converse (ours),0.01,1000,5.47368,1.02334
NCT converse (ours),0.01,1000,6.10526,1.10591
NCT converse (ours),0.01,1000,6.73684,1.19097
NCT converse (ours),0.01,1000,7.36842,1.27828
NCT converse (ours),0.01,1000,8,1.36764
$\chi^2$ converse (Polyanskiy),0.01,1000,-4,0.197472
$\chi^2$ converse (Polyanskiy),0.01,1000,-3.36842,0.226671
$\chi^2$ converse (Polyanskiy),0.01,1000,-2.73684,0.259225
$\chi^2$ converse (Polyanskiy),0.01,1000,-2.10526,0.295322
$\chi^2$ converse (Polyanskiy),0.01,1000,-1.47368,0.33512
$\chi^2$ converse (Polyanskiy),0.01,1000,-0.842105,0.378745
$\chi^2$ converse (Polyanskiy),0.01,1000,-0.210526,0.426283
$\chi^2$ converse (Polyanskiy),0.01,1000,0.421053,0.477777
$\chi^2$ converse (Polyanskiy),0.01,1000,1.05263,0.533227
RCU$^+$ achievable (ours),0.01,1000,-4,0.195589
RCU$^+$ achievable (ours),0.01,1000,-3.36842,0.224779
RCU$^+$ achievable (ours),0.01,1000,-2.73684,0.257326
RCU$^+$ achievable (ours),0.01,1000,-2.10526,0.293418
RCU$^+$ achievable (ours),0.01,1000,-1.47368,0.333215
RCU$^+$ achievable (ours),0.01,1000,-0.842105,0.376841
RCU$^+$ achievable (ours),0.01,1000,-0.210526,0.424383
RCU$^+$ achievable (ours),0.01,1000,0.421053,0.475883
RCU$^+$ achievable (ours),0.01,1000,1.05263,0.531341
RCU$^+$ achievable (ours),0.01,1000,1.68421,0.590709
RCU$^+$ achievable (ours),0.01,1000,2.31579,0.653902
RCU$^+$ achievable (ours),0.01,1000,2.94737,0.720792
RCU$^+$ achievable (ours),0.01,1000,3.57895,0.791222
RCU$^+$ achievable (ours),0.01,1000,4.21053,0.865008
RCU$^+$ achievable (ours),0.01,1000,4.84211,0.941943
RCU$^+$ achievable (ours),0.01,1000,5.47368,1.02181
RCU$^+$ achievable (ours),0.01,1000,6.10526,1.10439
RCU$^+$ achievable (ours),0.01,1000,6.73684,1.18944
RCU$^+$ achievable (ours),0.01,1000,7.36842,1.27676
RCU$^+$ achievable (ours),0.01,1000,8,1.36612
Gallager achievable,0.01,1000,-4,0.161355
Gallager achievable,0.01,1000,-3.36842,0.188388
Gallager achievable,0.01,1000,-2.73684,0.218814
Gallager achievable,0.01,1000,-2.10526,0.252828
Gallager achievable,0.01,1000,-1.47368,0.290604
Gallager achievable,0.01,1000,-0.842105,0.33231
