curve,n,snr_db,epsilon,rate_bits
Shannon capacity,50,6,1e-08,1.15823
Shannon capacity,50,6,2.48163e-08,1.15823
Shannon capacity,50,6,6.15848e-08,1.15823
Shannon capacity,50,6,1.52831e-07,1.15823
Shannon capacity,50,6,3.79269e-07,1.15823
Shannon capacity,50,6,9.41205e-07,1.15823
Shannon capacity,50,6,2.33572e-06,1.15823
Shannon capacity,50,6,5.79639e-06,1.15823
Shannon capacity,50,6,1.43845e-05,1.15823
Shannon capacity,50,6,3.5697e-05,1.15823
Shannon capacity,50,6,8.85867e-05,1.15823
Shannon capacity,50,6,0.000219839,1.15823
Shannon capacity,50,6,0.000545559,1.15823
Shannon capacity,50,6,0.00135388,1.15823
Shannon capacity,50,6,0.00335982,1.15823
Shannon capacity,50,6,0.00833782,1.15823
Shannon capacity,50,6,0.0206914,1.15823
Shannon capacity,50,6,0.0513483,1.15823
Shannon capacity,50,6,0.127427,1.15823
Shannon capacity,50,6,0.316228,1.15823
NCT converse (ours),50,6,1e-08,0.575464
NCT converse (ours),50,6,2.48163e-08,0.59087
NCT converse (ours),50,6,6.15848e-08,0.60689
NCT converse (ours),50,6,1.52831e-07,0.623582
NCT converse (ours),50,6,3.79269e-07,0.641009
NCT converse (ours),50,6,9.41205e-07,0.659248
NCT converse (ours),50,6,2.33572e-06,0.678387
NCT converse (ours),50,6,5.79639e-06,0.698535
NCT converse (ours),50,6,1.43845e-05,0.719819
NCT converse (ours),50,6,3.5697e-05,0.742397
NCT converse (ours),50,6,8.85867e-05,0.766466
NCT converse (ours),50,6,0.000219839,0.792277
NCT converse (ours),50,6,0.000545559,0.820156
NCT converse (ours),50,6,0.00135388,0.850542
NCT converse (ours),50,6,0.00335982,0.884047
NCT converse (ours),50,6,0.00833782,0.921565
NCT converse (ours),50,6,0.0206914,0.964497
NCT converse (ours),50,6,0.0513483,1.01525
NCT converse (ours),50,6,0.127427,1.07859
NCT converse (ours),50,6,0.316228,1.16687
$\chi^2$ converse (Polyanskiy),50,6,1e-08,0.593372
$\chi^2$ converse (Polyanskiy),50,6,2.48163e-08,0.607865
$\chi^2$ converse (Polyanskiy),50,6,6.15848e-08,0.622986
$\chi^2$ converse (Polyanskiy),50,6,1.52831e-07,0.638792
$\chi^2$ converse (Polyanskiy),50,6,3.79269e-07,0.655349
$\chi^2$ converse (Polyanskiy),50,6,9.41205e-07,0.672735
$\chi^2$ converse (Polyanskiy),50,6,2.33572e-06,0.691041
$\chi^2$ converse (Polyanskiy),50,6,5.79639e-06,0.710375
$\chi^2$ converse (Polyanskiy),50,6,1.43845e-05,0.730869
$\chi^2$ converse (Polyanskiy),50,6,3.5697e-05,0.752684
$\chi^2$ converse (Polyanskiy),50,6,8.85867e-05,0.776019
$\chi^2$ converse (Polyanskiy),50,6,0.000219839,0.80113
$\chi^2$ converse (Polyanskiy),50,6,0.000545559,0.828348
$\chi^2$ converse (Polyanskiy),50,6,0.00135388,0.858118
$\chi^2$ converse (Polyanskiy),50,6,0.00335982,0.891061
$\chi^2$ converse (Polyanskiy),50,6,0.00833782,0.928085
$\chi^2$ converse (Polyanskiy),50,6,0.0206914,0.970611
$\chi^2$ converse (Polyanskiy),50,6,0.0513483,1.02107
$\chi^2$ converse (Polyanskiy),50,6,0.127427,1.08431
$\chi^2$ converse (Polyanskiy),50,6,0.316228,1.17284
RCU$^+$ achievable (ours),50,6,1e-08,0
RCU$^+$ achievable (ours),50,6,2.48163e-08,0
RCU$^+$ achievable (ours),50,6,6.15848e-08,0
RCU$^+$ achievable (ours),50,6,1.52831e-07,0.52167
RCU$^+$ achievable (ours),50,6,3.79269e-07,0.547264
RCU$^+$ achievable (ours),50,6,9.41205e-07,0.573192
RCU$^+$ achievable (ours),50,6,2.33572e-06,0.599461
RCU$^+$ achievable (ours),50,6,5.79639e-06,0.626127
RCU$^+$ achievable (ours),50,6,1.43845e-05,0.653305
RCU$^+$ achievable (ours),50,6,3.5697e-05,0.681171
RCU$^+$ achievable (ours),50,6,8.85867e-05,0.709962
RCU$^+$ achievable (ours),50,6,0.000219839,0.739981
RCU$^+$ achievable (ours),50,6,0.000545559,0.771616
RCU$^+$ achievable (ours),50,6,0.00135388,0.805367
RCU$^+$ achievable (ours),50,6,0.00335982,0.841905
RCU$^+$ achievable (ours),50,6,0.00833782,0.882184
RCU$^+$ achievable (ours),50,6,0.0206914,0.927662
RCU$^+$ achievable (ours),50,6,0.0513483,0.980806
RCU$^+$ achievable (ours),50,6,0.127427,1.04647
RCU$^+$ achievable (ours),50,6,0.316228,1.13717
