curve,n,snr_db,epsilon,rate_bits
Shannon capacity,1000,-3,1e-08,0.293052
Shannon capacity,1000,-3,2.48163e-08,0.293052
Shannon capacity,1000,-3,6.15848e-08,0.293052
Shannon capacity,1000,-3,1.52831e-07,0.293052
Shannon capacity,1000,-3,3.79269e-07,0.293052
Shannon capacity,1000,-3,9.41205e-07,0.293052
Shannon capacity,1000,-3,2.33572e-06,0.293052
Shannon capacity,1000,-3,5.79639e-06,0.293052
Shannon capacity,1000,-3,1.43845e-05,0.293052
Shannon capacity,1000,-3,3.5697e-05,0.293052
Shannon capacity,1000,-3,8.85867e-05,0.293052
Shannon capacity,1000,-3,0.000219839,0.293052
Shannon capacity,1000,-3,0.000545559,0.293052
Shannon capacity,1000,-3,0.00135388,0.293052
Shannon capacity,1000,-3,0.00335982,0.293052
Shannon capacity,1000,-3,0.00833782,0.293052
Shannon capacity,1000,-3,0.0206914,0.293052
Shannon capacity,1000,-3,0.0513483,0.293052
Shannon capacity,1000,-3,0.127427,0.293052
Shannon capacity,1000,-3,0.316228,0.293052
NCT converse (ours),1000,-3,1e-08,0.177154
NCT converse (ours),1000,-3,2.48163e-08,0.180215
NCT converse (ours),1000,-3,6.15848e-08,0.183387
NCT converse (ours),1000,-3,1.52831e-07,0.18668
NCT converse (ours),1000,-3,3.79269e-07,0.190105
NCT converse (ours),1000,-3,9.41205e-07,0.193674
NCT converse (ours),1000,-3,2.33572e-06,0.197405
NCT converse (ours),1000,-3,5.79639e-06,0.201315
NCT converse (ours),1000,-3,1.43845e-05,0.205426
NCT converse (ours),1000,-3,3.5697e-05,0.209766
NCT converse (ours),1000,-3,8.85867e-05,0.214368
NCT converse (ours),1000,-3,0.000219839,0.219275
NCT converse (ours),1000,-3,0.000545559,0.224542
NCT converse (ours),1000,-3,0.00135388,0.230245
NCT converse (ours),1000,-3,0.00335982,0.236486
NCT converse (ours),1000,-3,0.00833782,0.243416
NCT converse (ours),1000,-3,0.0206914,0.251271
NCT converse (ours),1000,-3,0.0513483,0.260453
NCT converse (ours),1000,-3,0.127427,0.271754
NCT converse (ours),1000,-3,0.316228,0.287215
$\chi^2$ converse (Polyanskiy),1000,-3,1e-08,0.178894
$\chi^2$ converse (Polyanskiy),1000,-3,2.48163e-08,0.181867
$\chi^2$ converse (Polyanskiy),1000,-3,6.15848e-08,0.18495
$\chi^2$ converse (Polyanskiy),1000,-3,1.52831e-07,0.188153
$\chi^2$ converse (Polyanskiy),1000,-3,3.79269e-07,0.191487
$\chi^2$ converse (Polyanskiy),1000,-3,9.41205e-07,0.194966
$\chi^2$ converse (Polyanskiy),1000,-3,2.33572e-06,0.198605
$\chi^2$ converse (Polyanskiy),1000,-3,5.79639e-06,0.202422
$\chi^2$ converse (Polyanskiy),1000,-3,1.43845e-05,0.206441
$\chi^2$ converse (Polyanskiy),1000,-3,3.5697e-05,0.210687
$\chi^2$ converse (Polyanskiy),1000,-3,8.85867e-05,0.215195
