curve,n,snr_db,epsilon,rate_bits
Shannon capacity,50,3,1e-08,0.791341
Shannon capacity,50,3,2.48163e-08,0.791341
Shannon capacity,50,3,6.15848e-08,0.791341
Shannon capacity,50,3,1.52831e-07,0.791341
Shannon capacity,50,3,3.79269e-07,0.791341
Shannon capacity,50,3,9.41205e-07,0.791341
Shannon capacity,50,3,2.33572e-06,0.791341
Shannon capacity,50,3,5.79639e-06,0.791341
Shannon capacity,50,3,1.43845e-05,0.791341
Shannon capacity,50,3,3.5697e-05,0.791341
Shannon capacity,50,3,8.85867e-05,0.791341
Shannon capacity,50,3,0.000219839,0.791341
Shannon capacity,50,3,0.000545559,0.791341
Shannon capacity,50,3,0.00135388,0.791341
Shannon capacity,50,3,0.00335982,0.791341
Shannon capacity,50,3,0.00833782,0.791341
Shannon capacity,50,3,0.0206914,0.791341
Shannon capacity,50,3,0.0513483,0.791341
Shannon capacity,50,3,0.127427,0.791341
Shannon capacity,50,3,0.316228,0.791341
NCT converse (ours),50,3,1e-08,0.258565
NCT converse (ours),50,3,2.48163e-08,0.271607
NCT converse (ours),50,3,6.15848e-08,0.285289
NCT converse (ours),50,3,1.52831e-07,0.299662
NCT converse (ours),50,3,3.79269e-07,0.314791
NCT converse (ours),50,3,9.41205e-07,0.330749
NCT converse (ours),50,3,2.33572e-06,0.347622
NCT converse (ours),50,3,5.79639e-06,0.365514
NCT converse (ours),50,3,1.43845e-05,0.384549
NCT converse (ours),50,3,3.5697e-05,0.404881
NCT converse (ours),50,3,8.85867e-05,0.426701
NCT converse (ours),50,3,0.000219839,0.450254
NCT converse (ours),50,3,0.000545559,0.475856
NCT converse (ours),50,3,0.00135388,0.503936
NCT converse (ours),50,3,0.00335982,0.535089
NCT converse (ours),50,3,0.00833782,0.570188
NCT converse (ours),50,3,0.0206914,0.610599
NCT converse (ours),50,3,0.0513483,0.658668
NCT converse (ours),50,3,0.127427,0.719052
NCT converse (ours),50,3,0.316228,0.803818
$\chi^2$ converse (Polyanskiy),50,3,1e-08,0.284444
$\chi^2$ converse (Polyanskiy),50,3,2.48163e-08,0.296201
$\chi^2$ converse (Polyanskiy),50,3,6.15848e-08,0.308575
$\chi^2$ converse (Polyanskiy),50,3,1.52831e-07,0.321623
$\chi^2$ converse (Polyanskiy),50,3,3.79269e-07,0.335409
$\chi^2$ converse (Polyanskiy),50,3,9.41205e-07,0.350011
$\chi^2$ converse (Polyanskiy),50,3,2.33572e-06,0.365517
$\chi^2$ converse (Polyanskiy),50,3,5.79639e-06,0.382034
$\chi^2$ converse (Polyanskiy),50,3,1.43845e-05,0.399691
$\chi^2$ converse (Polyanskiy),50,3,3.5697e-05,0.418646
$\chi^2$ converse (Polyanskiy),50,3,8.85867e-05,0.439095
$\chi^2$ converse (Polyanskiy),50,3,0.000219839,0.461288
$\chi^2$ converse (Polyanskiy),50,3,0.000545559,0.48555
