curve,n,snr_db,epsilon,rate_bits
$\chi^2$ converse (Polyanskiy),50,3,0.00135388,0.512317
$\chi^2$ converse (Polyanskiy),50,3,0.00335982,0.542199
$\chi^2$ converse (Polyanskiy),50,3,0.00833782,0.576086
$\chi^2$ converse (Polyanskiy),50,3,0.0206914,0.61537
$\chi^2$ converse (Polyanskiy),50,3,0.0513483,0.662441
$\chi^2$ converse (Polyanskiy),50,3,0.127427,0.722046
$\chi^2$ converse (Polyanskiy),50,3,0.316228,0.80648
RCU$^+$ achievable (ours),50,3,1e-08,0
RCU$^+$ achievable (ours),50,3,2.48163e-08,0
RCU$^+$ achievable (ours),50,3,6.15848e-08,0
RCU$^+$ achievable (ours),50,3,1.52831e-07,0
RCU$^+$ achievable (ours),50,3,3.79269e-07,0.207575
RCU$^+$ achievable (ours),50,3,9.41205e-07,0.233208
RCU$^+$ achievable (ours),50,3,2.33572e-06,0.259121
RCU$^+$ achievable (ours),50,3,5.79639e-06,0.285304
RCU$^+$ achievable (ours),50,3,1.43845e-05,0.311816
RCU$^+$ achievable (ours),50,3,3.5697e-05,0.338801
RCU$^+$ achievable (ours),50,3,8.85867e-05,0.366482
RCU$^+$ achievable (ours),50,3,0.000219839,0.395171
RCU$^+$ achievable (ours),50,3,0.000545559,0.425269
RCU$^+$ achievable (ours),50,3,0.00135388,0.457295
RCU$^+$ achievable (ours),50,3,0.00335982,0.49193
RCU$^+$ achievable (ours),50,3,0.00833782,0.530134
RCU$^+$ achievable (ours),50,3,0.0206914,0.57335
RCU$^+$ achievable (ours),50,3,0.0513483,0.624005
RCU$^+$ achievable (ours),50,3,0.127427,0.686854
RCU$^+$ achievable (ours),50,3,0.316228,0.774132
Gallager achievable,50,3,1e-08,0
Gallager achievable,50,3,2.48163e-08,0
Gallager achievable,50,3,6.15848e-08,0
Gallager achievable,50,3,1.52831e-07,0.017726
Gallager achievable,50,3,3.79269e-07,0.0439527
Gallager achievable,50,3,9.41205e-07,0.0701794
Gallager achievable,50,3,2.33572e-06,0.0964061
Gallager achievable,50,3,5.79639e-06,0.122633
Gallager achievable,50,3,1.43845e-05,0.148859
Gallager achievable,50,3,3.5697e-05,0.175086
Gallager achievable,50,3,8.85867e-05,0.201313
Gallager achievable,50,3,0.000219839,0.22754
Gallager achievable,50,3,0.000545559,0.253718
Gallager achievable,50,3,0.00135388,0.279945
Gallager achievable,50,3,0.00335982,0.306171
Gallager achievable,50,3,0.00833782,0.332398
Gallager achievable,50,3,0.0206914,0.358625
Gallager achievable,50,3,0.0513483,0.384851
Gallager achievable,50,3,0.127427,0.413831
Gallager achievable,50,3,0.316228,0.44711
$\kappa\beta$ achievable (PPV-faithful),50,3,1e-08,-0.280521
$\kappa\beta$ achievable (PPV-faithful),50,3,2.48163e-08,-0.243288
$\kappa\beta$ achievable (PPV-faithful),50,3,6.15848e-08,-0.205479
$\kappa\beta$ achievable (PPV-faithful),50,3,1.52831e-07,-0.167053
$\kappa\beta$ achievable (PPV-faithful),50,3,3.79269e-07,-0.127926
$\kappa\beta$ achievable (PPV-faithful),50,3,9.41205e-07,-0.08806
$\kappa\beta$ achievable (PPV-faithful),50,3,2.33572e-06,-0.047341
$\kappa\beta$ achievable (PPV-faithful),50,3,5.79639e-06,-0.00570065
$\kappa\beta$ achievable (PPV-faithful),50,3,1.43845e-05,0.0369875
$\kappa\beta$ achievable (PPV-faithful),50,3,3.5697e-05,0.0808768
$\kappa\beta$ achievable (PPV-faithful),50,3,8.85867e-05,0.126119
$\kappa\beta$ achievable (PPV-faithful),50,3,0.000219839,0.172943
$\kappa\beta$ achievable (PPV-faithful),50,3,0.000545559,0.221647
$\kappa\beta$ achievable (PPV-faithful),50,3,0.00135388,0.27261
$\kappa\beta$ achievable (PPV-faithful),50,3,0.00335982,0.326354
$\kappa\beta$ achievable (PPV-faithful),50,3,0.00833782,0.383671
$\kappa\beta$ achievable (PPV-faithful),50,3,0.0206914,0.445717
$\kappa\beta$ achievable (PPV-faithful),50,3,0.0513483,0.51453
$\kappa\beta$ achievable (PPV-faithful),50,3,0.127427,0.594017
$\kappa\beta$ achievable (PPV-faithful),50,3,0.316228,0.694091
Normal approximation,50,3,1e-08,0.0845943
Normal approximation,50,3,2.48163e-08,0.106269
Normal approximation,50,3,6.15848e-08,0.128557
Normal approximation,50,3,1.52831e-07,0.151513
Normal approximation,50,3,3.79269e-07,0.1752
Normal approximation,50,3,9.41205e-07,0.19969
Normal approximation,50,3,2.33572e-06,0.22507
Normal approximation,50,3,5.79639e-06,0.251441
Normal approximation,50,3,1.43845e-05,0.278927
Normal approximation,50,3,3.5697e-05,0.307676
Normal approximation,50,3,8.85867e-05,0.337876
Normal approximation,50,3,0.000219839,0.369763
Normal approximation,50,3,0.000545559,0.403643
Normal approximation,50,3,0.00135388,0.439927
Normal approximation,50,3,0.00335982,0.479184
Normal approximation,50,3,0.00833782,0.522245
Normal approximation,50,3,0.0206914,0.570401
Normal approximation,50,3,0.0513483,0.625852
Normal approximation,50,3,0.127427,0.692935
Normal approximation,50,3,0.316228,0.782739
