curve,n,snr_db,epsilon,rate_bits
Shannon capacity,1000,6,1e-08,1.15823
Shannon capacity,1000,6,2.48163e-08,1.15823
Shannon capacity,1000,6,6.15848e-08,1.15823
Shannon capacity,1000,6,1.52831e-07,1.15823
Shannon capacity,1000,6,3.79269e-07,1.15823
Shannon capacity,1000,6,9.41205e-07,1.15823
Shannon capacity,1000,6,2.33572e-06,1.15823
Shannon capacity,1000,6,5.79639e-06,1.15823
Shannon capacity,1000,6,1.43845e-05,1.15823
Shannon capacity,1000,6,3.5697e-05,1.15823
Shannon capacity,1000,6,8.85867e-05,1.15823
Shannon capacity,1000,6,0.000219839,1.15823
Shannon capacity,1000,6,0.000545559,1.15823
Shannon capacity,1000,6,0.00135388,1.15823
Shannon capacity,1000,6,0.00335982,1.15823
Shannon capacity,1000,6,0.00833782,1.15823
Shannon capacity,1000,6,0.0206914,1.15823
Shannon capacity,1000,6,0.0513483,1.15823
Shannon capacity,1000,6,0.127427,1.15823
Shannon capacity,1000,6,0.316228,1.15823
NCT converse (ours),1000,6,1e-08,0.994474
NCT converse (ours),1000,6,2.48163e-08,0.999087
NCT converse (ours),1000,6,6.15848e-08,1.00384
NCT converse (ours),1000,6,1.52831e-07,1.00875
NCT converse (ours),1000,6,3.79269e-07,1.01384
NCT converse (ours),1000,6,9.41205e-07,1.01911
NCT converse (ours),1000,6,2.33572e-06,1.02458
NCT converse (ours),1000,6,5.79639e-06,1.03029
NCT converse (ours),1000,6,1.43845e-05,1.03626
NCT converse (ours),1000,6,3.5697e-05,1.04252
NCT converse (ours),1000,6,8.85867e-05,1.04912
NCT converse (ours),1000,6,0.000219839,1.05611
NCT converse (ours),1000,6,0.000545559,1.06357
NCT converse (ours),1000,6,0.00135388,1.07168
RCU+ achievable (ours),1000,6,1e-08,0.992785
RCU+ achievable (ours),1000,6,2.48163e-08,0.997408
RCU+ achievable (ours),1000,6,6.15848e-08,1.00217
RCU+ achievable (ours),1000,6,1.52831e-07,1.00709
RCU+ achievable (ours),1000,6,3.79269e-07,1.01219
RCU+ achievable (ours),1000,6,9.41205e-07,1.01746
RCU+ achievable (ours),1000,6,2.33572e-06,1.02295
RCU+ achievable (ours),1000,6,5.79639e-06,1.02867
RCU+ achievable (ours),1000,6,1.43845e-05,1.03464
RCU+ achievable (ours),1000,6,3.5697e-05,1.04092
RCU+ achievable (ours),1000,6,8.85867e-05,1.04753
RCU+ achievable (ours),1000,6,0.000219839,1.05453
RCU+ achievable (ours),1000,6,0.000545559,1.062
RCU+ achievable (ours),1000,6,0.00135388,1.07011
Gallager achievable (avg err),1000,6,1e-08,0.956966
Gallager achievable (avg err),1000,6,2.48163e-08,0.960925
Gallager achievable (avg err),1000,6,6.15848e-08,0.965025
Gallager achievable (avg err),1000,6,1.52831e-07,0.969196
Gallager achievable (avg err),1000,6,3.79269e-07,0.973438
Gallager achievable (avg err),1000,6,9.41205e-07,0.97782
Gallager achievable (avg err),1000,6,2.33572e-06,0.982416
Gallager achievable (avg err),1000,6,5.79639e-06,0.987081
Gallager achievable (avg err),1000,6,1.43845e-05,0.991888
Gallager achievable (avg err),1000,6,3.5697e-05,0.996908
Gallager achievable (avg err),1000,6,8.85867e-05,1.00214
Gallager achievable (avg err),1000,6,0.000219839,1.00758
Gallager achievable (avg err),1000,6,0.000545559,1.01324
Gallager achievable (avg err),1000,6,0.00135388,1.01918
Gallager achievable (avg err),1000,6,0.00335982,1.02547
Gallager achievable (avg err),1000,6,0.00833782,1.03211
Gallager achievable (avg err),1000,6,0.0206914,1.03918
Gallager achievable (avg err),1000,6,0.0513483,1.04689
Gallager achievable (avg err),1000,6,0.127427,1.0553
Gallager achievable (avg err),1000,6,0.316228,1.06463
$\kappa\beta$ achievable v2 (max err),1000,6,1e-08,0.935988
$\kappa\beta$ achievable v2 (max err),1000,6,2.48163e-08,0.943115
$\kappa\beta$ achievable v2 (max err),1000,6,6.15848e-08,0.950379
$\kappa\beta$ achievable v2 (max err),1000,6,1.52831e-07,0.957794
$\kappa\beta$ achievable v2 (max err),1000,6,3.79269e-07,0.965373
$\kappa\beta$ achievable v2 (max err),1000,6,9.41205e-07,0.973133
$\kappa\beta$ achievable v2 (max err),1000,6,2.33572e-06,0.981098
$\kappa\beta$ achievable v2 (max err),1000,6,5.79639e-06,0.989286
$\kappa\beta$ achievable v2 (max err),1000,6,1.43845e-05,0.997724
$\kappa\beta$ achievable v2 (max err),1000,6,3.5697e-05,1.00644
$\kappa\beta$ achievable v2 (max err),1000,6,8.85867e-05,1.01549
$\kappa\beta$ achievable v2 (max err),1000,6,0.000219839,1.02492
$\kappa\beta$ achievable v2 (max err),1000,6,0.000545559,1.03479
$\kappa\beta$ achievable v2 (max err),1000,6,0.00135388,1.0452
$\kappa\beta$ achievable v2 (max err),1000,6,0.00335982,1.05627
$\kappa\beta$ achievable v2 (max err),1000,6,0.00833782,1.0682
$\kappa\beta$ achievable v2 (max err),1000,6,0.0206914,1.08125
$\kappa\beta$ achievable v2 (max err),1000,6,0.0513483,1.09592
$\kappa\beta$ achievable v2 (max err),1000,6,0.127427,1.11314
$\kappa\beta$ achievable v2 (max err),1000,6,0.316228,1.13531
Normal approximation,1000,6,1e-08,0.985856
Normal approximation,1000,6,2.48163e-08,0.990893
Normal approximation,1000,6,6.15848e-08,0.996072
Normal approximation,1000,6,1.52831e-07,1.00141
Normal approximation,1000,6,3.79269e-07,1.00691
Normal approximation,1000,6,9.41205e-07,1.0126
Normal approximation,1000,6,2.33572e-06,1.0185
Normal approximation,1000,6,5.79639e-06,1.02463
Normal approximation,1000,6,1.43845e-05,1.03102
Normal approximation,1000,6,3.5697e-05,1.0377
Normal approximation,1000,6,8.85867e-05,1.04472
Normal approximation,1000,6,0.000219839,1.05213
Normal approximation,1000,6,0.000545559,1.06
Normal approximation,1000,6,0.00135388,1.06843
Normal approximation,1000,6,0.00335982,1.07755
Normal approximation,1000,6,0.00833782,1.08756
Normal approximation,1000,6,0.0206914,1.09875
Normal approximation,1000,6,0.0513483,1.11164
Normal approximation,1000,6,0.127427,1.12723
Normal approximation,1000,6,0.316228,1.1481
