curve,epsilon,snr_db,n,rate_bits
Shannon capacity,1e-06,0.0,20,0.5
Shannon capacity,1e-06,0.0,24,0.5
Shannon capacity,1e-06,0.0,28,0.5
Shannon capacity,1e-06,0.0,33,0.5
Shannon capacity,1e-06,0.0,37,0.5
Shannon capacity,1e-06,0.0,41,0.5
Shannon capacity,1e-06,0.0,45,0.5
Shannon capacity,1e-06,0.0,49,0.5
Shannon capacity,1e-06,0.0,54,0.5
Shannon capacity,1e-06,0.0,58,0.5
Shannon capacity,1e-06,0.0,62,0.5
Shannon capacity,1e-06,0.0,66,0.5
Shannon capacity,1e-06,0.0,71,0.5
Shannon capacity,1e-06,0.0,75,0.5
Shannon capacity,1e-06,0.0,79,0.5
Shannon capacity,1e-06,0.0,83,0.5
Shannon capacity,1e-06,0.0,87,0.5
Shannon capacity,1e-06,0.0,92,0.5
Shannon capacity,1e-06,0.0,96,0.5
Shannon capacity,1e-06,0.0,100,0.5
NCT converse (ours),1e-06,0.0,24,0.0489989
NCT converse (ours),1e-06,0.0,28,0.0620268
NCT converse (ours),1e-06,0.0,33,0.0771592
NCT converse (ours),1e-06,0.0,37,0.0883174
NCT converse (ours),1e-06,0.0,41,0.098678
NCT converse (ours),1e-06,0.0,45,0.108304
NCT converse (ours),1e-06,0.0,49,0.117262
NCT converse (ours),1e-06,0.0,54,0.127619
NCT converse (ours),1e-06,0.0,58,0.135301
NCT converse (ours),1e-06,0.0,62,0.142505
NCT converse (ours),1e-06,0.0,66,0.149275
NCT converse (ours),1e-06,0.0,71,0.157189
NCT converse (ours),1e-06,0.0,75,0.163126
NCT converse (ours),1e-06,0.0,79,0.168745
NCT converse (ours),1e-06,0.0,83,0.174073
NCT converse (ours),1e-06,0.0,87,0.179134
NCT converse (ours),1e-06,0.0,92,0.185119
NCT converse (ours),1e-06,0.0,96,0.189657
NCT converse (ours),1e-06,0.0,100,0.19399
$\chi^2$ converse (Polyanskiy),1e-06,0.0,20,0.0651205
$\chi^2$ converse (Polyanskiy),1e-06,0.0,24,0.0773358
$\chi^2$ converse (Polyanskiy),1e-06,0.0,28,0.0887327
$\chi^2$ converse (Polyanskiy),1e-06,0.0,33,0.101859
$\chi^2$ converse (Polyanskiy),1e-06,0.0,37,0.111528
$\chi^2$ converse (Polyanskiy),1e-06,0.0,41,0.120525
$\chi^2$ converse (Polyanskiy),1e-06,0.0,45,0.128911
$\chi^2$ converse (Polyanskiy),1e-06,0.0,49,0.136745
$\chi^2$ converse (Polyanskiy),1e-06,0.0,54,0.145842
$\chi^2$ converse (Polyanskiy),1e-06,0.0,58,0.15262
$\chi^2$ converse (Polyanskiy),1e-06,0.0,62,0.159
$\chi^2$ converse (Polyanskiy),1e-06,0.0,66,0.165018
$\chi^2$ converse (Polyanskiy),1e-06,0.0,71,0.17208
$\chi^2$ converse (Polyanskiy),1e-06,0.0,75,0.177397
$\chi^2$ converse (Polyanskiy),1e-06,0.0,79,0.182444
$\chi^2$ converse (Polyanskiy),1e-06,0.0,83,0.187243
$\chi^2$ converse (Polyanskiy),1e-06,0.0,87,0.191815
$\chi^2$ converse (Polyanskiy),1e-06,0.0,92,0.197236
$\chi^2$ converse (Polyanskiy),1e-06,0.0,96,0.201357
$\chi^2$ converse (Polyanskiy),1e-06,0.0,100,0.205301
RCU$^+$ achievable (ours),1e-06,0.0,24,0
RCU$^+$ achievable (ours),1e-06,0.0,28,0
RCU$^+$ achievable (ours),1e-06,0.0,33,0
RCU$^+$ achievable (ours),1e-06,0.0,37,0
RCU$^+$ achievable (ours),1e-06,0.0,41,0
RCU$^+$ achievable (ours),1e-06,0.0,45,0
RCU$^+$ achievable (ours),1e-06,0.0,49,0
RCU$^+$ achievable (ours),1e-06,0.0,54,0
RCU$^+$ achievable (ours),1e-06,0.0,58,0
RCU$^+$ achievable (ours),1e-06,0.0,62,0
RCU$^+$ achievable (ours),1e-06,0.0,66,0.0714888
RCU$^+$ achievable (ours),1e-06,0.0,71,0.0893983
RCU$^+$ achievable (ours),1e-06,0.0,75,0.101993
RCU$^+$ achievable (ours),1e-06,0.0,79,0.113309
RCU$^+$ achievable (ours),1e-06,0.0,83,0.12354
RCU$^+$ achievable (ours),1e-06,0.0,87,0.132844
RCU$^+$ achievable (ours),1e-06,0.0,92,0.143366
RCU$^+$ achievable (ours),1e-06,0.0,96,0.151026
RCU$^+$ achievable (ours),1e-06,0.0,100,0.158107
Gallager achievable,1e-06,0.0,20,0
Gallager achievable,1e-06,0.0,24,0
Gallager achievable,1e-06,0.0,28,0
Gallager achievable,1e-06,0.0,33,0
Gallager achievable,1e-06,0.0,37,0
Gallager achievable,1e-06,0.0,41,0
Gallager achievable,1e-06,0.0,45,0
Gallager achievable,1e-06,0.0,49,0
Gallager achievable,1e-06,0.0,54,0
Gallager achievable,1e-06,0.0,58,0
Gallager achievable,1e-06,0.0,62,0
Gallager achievable,1e-06,0.0,66,0
Gallager achievable,1e-06,0.0,71,0
Gallager achievable,1e-06,0.0,75,0
Gallager achievable,1e-06,0.0,79,0.0125427
Gallager achievable,1e-06,0.0,83,0.0268555
Gallager achievable,1e-06,0.0,87,0.0398254
Gallager achievable,1e-06,0.0,92,0.0544739
Gallager achievable,1e-06,0.0,96,0.0651245
Gallager achievable,1e-06,0.0,100,0.0749207
