curve,epsilon,snr_db,n,rate_bits
Gallager achievable,0.01,0,1836,0.420654
Gallager achievable,0.01,0,1918,0.422272
Gallager achievable,0.01,0,2000,0.423828
$\kappa\beta$ achievable (PPV-faithful),0.01,0,30,0.00545566
$\kappa\beta$ achievable (PPV-faithful),0.01,0,112,0.276144
$\kappa\beta$ achievable (PPV-faithful),0.01,0,194,0.335654
$\kappa\beta$ achievable (PPV-faithful),0.01,0,276,0.364604
$\kappa\beta$ achievable (PPV-faithful),0.01,0,358,0.382425
$\kappa\beta$ achievable (PPV-faithful),0.01,0,440,0.394762
$\kappa\beta$ achievable (PPV-faithful),0.01,0,522,0.403953
$\kappa\beta$ achievable (PPV-faithful),0.01,0,605,0.411194
$\kappa\beta$ achievable (PPV-faithful),0.01,0,687,0.416981
$\kappa\beta$ achievable (PPV-faithful),0.01,0,769,0.421776
$\kappa\beta$ achievable (PPV-faithful),0.01,0,851,0.425833
$\kappa\beta$ achievable (PPV-faithful),0.01,0,933,0.429336
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1015,0.432389
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1097,0.435082
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1179,0.437478
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1261,0.439629
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1343,0.434303
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1425,0.436466
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1508,0.43846
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1590,0.440264
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1672,0.441924
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1754,0.443458
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1836,0.444881
$\kappa\beta$ achievable (PPV-faithful),0.01,0,1918,0.446208
$\kappa\beta$ achievable (PPV-faithful),0.01,0,2000,0.44745
Normal approximation,0.01,0,30,0.206546
Normal approximation,0.01,0,112,0.336187
Normal approximation,0.01,0,194,0.372029
Normal approximation,0.01,0,276,0.390978
Normal approximation,0.01,0,358,0.403226
Normal approximation,0.01,0,440,0.411999
Normal approximation,0.01,0,522,0.418692
Normal approximation,0.01,0,605,0.424079
Normal approximation,0.01,0,687,0.428446
Normal approximation,0.01,0,769,0.432119
Normal approximation,0.01,0,851,0.435265
Normal approximation,0.01,0,933,0.438001
Normal approximation,0.01,0,1015,0.440409
Normal approximation,0.01,0,1097,0.44255
Normal approximation,0.01,0,1179,0.444471
Normal approximation,0.01,0,1261,0.446207
Normal approximation,0.01,0,1343,0.447786
Normal approximation,0.01,0,1425,0.449231
Normal approximation,0.01,0,1508,0.450575
Normal approximation,0.01,0,1590,0.451802
Normal approximation,0.01,0,1672,0.452939
Normal approximation,0.01,0,1754,0.453998
Normal approximation,0.01,0,1836,0.454987
Normal approximation,0.01,0,1918,0.455914
Normal approximation,0.01,0,2000,0.456785
