curve,epsilon,snr_db,n,rate_bits
Shannon capacity,1e-06,6,30,1.15823
Shannon capacity,1e-06,6,112,1.15823
Shannon capacity,1e-06,6,194,1.15823
Shannon capacity,1e-06,6,276,1.15823
Shannon capacity,1e-06,6,358,1.15823
Shannon capacity,1e-06,6,440,1.15823
Shannon capacity,1e-06,6,522,1.15823
Shannon capacity,1e-06,6,605,1.15823
Shannon capacity,1e-06,6,687,1.15823
Shannon capacity,1e-06,6,769,1.15823
Shannon capacity,1e-06,6,851,1.15823
Shannon capacity,1e-06,6,933,1.15823
Shannon capacity,1e-06,6,1015,1.15823
Shannon capacity,1e-06,6,1097,1.15823
Shannon capacity,1e-06,6,1179,1.15823
Shannon capacity,1e-06,6,1261,1.15823
Shannon capacity,1e-06,6,1343,1.15823
Shannon capacity,1e-06,6,1425,1.15823
Shannon capacity,1e-06,6,1508,1.15823
Shannon capacity,1e-06,6,1590,1.15823
Shannon capacity,1e-06,6,1672,1.15823
Shannon capacity,1e-06,6,1754,1.15823
Shannon capacity,1e-06,6,1836,1.15823
Shannon capacity,1e-06,6,1918,1.15823
Shannon capacity,1e-06,6,2000,1.15823
NCT converse (ours),1e-06,6,30,0.561807
NCT converse (ours),1e-06,6,112,0.794456
NCT converse (ours),1e-06,6,194,0.868972
NCT converse (ours),1e-06,6,276,0.909851
NCT converse (ours),1e-06,6,358,0.936759
NCT converse (ours),1e-06,6,440,0.956247
NCT converse (ours),1e-06,6,522,0.971226
NCT converse (ours),1e-06,6,605,0.983349
NCT converse (ours),1e-06,6,687,0.993217
NCT converse (ours),1e-06,6,769,1.00154
NCT converse (ours),1e-06,6,851,1.00869
NCT converse (ours),1e-06,6,933,1.01493
NCT converse (ours),1e-06,6,1015,1.02042
RCU+ achievable (ours),1e-06,6,30,0
RCU+ achievable (ours),1e-06,6,112,0.771652
RCU+ achievable (ours),1e-06,6,194,0.858167
RCU+ achievable (ours),1e-06,6,276,0.902863
RCU+ achievable (ours),1e-06,6,358,0.931619
RCU+ achievable (ours),1e-06,6,440,0.952191
RCU+ achievable (ours),1e-06,6,522,0.967882
RCU+ achievable (ours),1e-06,6,605,0.980512
RCU+ achievable (ours),1e-06,6,687,0.990751
RCU+ achievable (ours),1e-06,6,769,0.999363
RCU+ achievable (ours),1e-06,6,851,1.00674
RCU+ achievable (ours),1e-06,6,933,1.01316
RCU+ achievable (ours),1e-06,6,1015,1.01881
Gallager achievable (avg err),1e-06,6,30,0.0869519
Gallager achievable (avg err),1e-06,6,112,0.670449
Gallager achievable (avg err),1e-06,6,194,0.77465
Gallager achievable (avg err),1e-06,6,276,0.83078
Gallager achievable (avg err),1e-06,6,358,0.867328
Gallager achievable (avg err),1e-06,6,440,0.893696
Gallager achievable (avg err),1e-06,6,522,0.913844
Gallager achievable (avg err),1e-06,6,605,0.930032
Gallager achievable (avg err),1e-06,6,687,0.943252
Gallager achievable (avg err),1e-06,6,769,0.954351
Gallager achievable (avg err),1e-06,6,851,0.963823
