curve,epsilon,snr_db,n,rate_bits
Shannon capacity,1e-06,-3,30,0.293052
Shannon capacity,1e-06,-3,112,0.293052
Shannon capacity,1e-06,-3,194,0.293052
Shannon capacity,1e-06,-3,276,0.293052
Shannon capacity,1e-06,-3,358,0.293052
Shannon capacity,1e-06,-3,440,0.293052
Shannon capacity,1e-06,-3,522,0.293052
Shannon capacity,1e-06,-3,605,0.293052
Shannon capacity,1e-06,-3,687,0.293052
Shannon capacity,1e-06,-3,769,0.293052
Shannon capacity,1e-06,-3,851,0.293052
Shannon capacity,1e-06,-3,933,0.293052
Shannon capacity,1e-06,-3,1015,0.293052
Shannon capacity,1e-06,-3,1097,0.293052
Shannon capacity,1e-06,-3,1179,0.293052
Shannon capacity,1e-06,-3,1261,0.293052
Shannon capacity,1e-06,-3,1343,0.293052
Shannon capacity,1e-06,-3,1425,0.293052
Shannon capacity,1e-06,-3,1508,0.293052
Shannon capacity,1e-06,-3,1590,0.293052
Shannon capacity,1e-06,-3,1672,0.293052
Shannon capacity,1e-06,-3,1754,0.293052
Shannon capacity,1e-06,-3,1836,0.293052
Shannon capacity,1e-06,-3,1918,0.293052
Shannon capacity,1e-06,-3,2000,0.293052
NCT converse (ours),1e-06,-3,30,0.0815717
NCT converse (ours),1e-06,-3,112,0.0699345
NCT converse (ours),1e-06,-3,194,0.104737
NCT converse (ours),1e-06,-3,276,0.126673
NCT converse (ours),1e-06,-3,358,0.142105
NCT converse (ours),1e-06,-3,440,0.15374
NCT converse (ours),1e-06,-3,522,0.162934
NCT converse (ours),1e-06,-3,605,0.170527
NCT converse (ours),1e-06,-3,687,0.176806
NCT converse (ours),1e-06,-3,769,0.182171
NCT converse (ours),1e-06,-3,851,0.186826
NCT converse (ours),1e-06,-3,933,0.190918
NCT converse (ours),1e-06,-3,1015,0.194553
NCT converse (ours),1e-06,-3,1097,0.197811
NCT converse (ours),1e-06,-3,1179,0.200755
NCT converse (ours),1e-06,-3,1261,0.203431
NCT converse (ours),1e-06,-3,1343,0.20588
NCT converse (ours),1e-06,-3,1425,0.208131
NCT converse (ours),1e-06,-3,1508,0.210235
NCT converse (ours),1e-06,-3,1590,0.212162
NCT converse (ours),1e-06,-3,1672,0.213956
NCT converse (ours),1e-06,-3,1754,0.215632
NCT converse (ours),1e-06,-3,1836,0.217203
NCT converse (ours),1e-06,-3,1918,0.218679
NCT converse (ours),1e-06,-3,2000,0.220069
RCU+ achievable (ours),1e-06,-3,30,0
RCU+ achievable (ours),1e-06,-3,112,0
RCU+ achievable (ours),1e-06,-3,194,0.0887305
RCU+ achievable (ours),1e-06,-3,276,0.117633
RCU+ achievable (ours),1e-06,-3,358,0.135888
RCU+ achievable (ours),1e-06,-3,440,0.149023
RCU+ achievable (ours),1e-06,-3,522,0.15914
RCU+ achievable (ours),1e-06,-3,605,0.167364
RCU+ achievable (ours),1e-06,-3,687,0.174091
RCU+ achievable (ours),1e-06,-3,769,0.179794
RCU+ achievable (ours),1e-06,-3,851,0.184714
RCU+ achievable (ours),1e-06,-3,933,0.189018
RCU+ achievable (ours),1e-06,-3,1015,0.192826
RCU+ achievable (ours),1e-06,-3,1097,0.19623
RCU+ achievable (ours),1e-06,-3,1179,0.199296
RCU+ achievable (ours),1e-06,-3,1261,0.202078
RCU+ achievable (ours),1e-06,-3,1343,0.204618
RCU+ achievable (ours),1e-06,-3,1425,0.206948
RCU+ achievable (ours),1e-06,-3,1508,0.209124
RCU+ achievable (ours),1e-06,-3,1590,0.211113
RCU+ achievable (ours),1e-06,-3,1672,0.212964
RCU+ achievable (ours),1e-06,-3,1754,0.21469
RCU+ achievable (ours),1e-06,-3,1836,0.216306
RCU+ achievable (ours),1e-06,-3,1918,0.217823
RCU+ achievable (ours),1e-06,-3,2000,0.219251
Gallager achievable (avg err),1e-06,-3,30,0
Gallager achievable (avg err),1e-06,-3,112,0
Gallager achievable (avg err),1e-06,-3,194,0.0460577
Gallager achievable (avg err),1e-06,-3,276,0.0819558
Gallager achievable (avg err),1e-06,-3,358,0.101863
Gallager achievable (avg err),1e-06,-3,440,0.116423
Gallager achievable (avg err),1e-06,-3,522,0.128013
Gallager achievable (avg err),1e-06,-3,605,0.137636
