curve,epsilon,snr_db,n,rate_bits
Shannon capacity,1e-06,0,30,0.5
Shannon capacity,1e-06,0,112,0.5
Shannon capacity,1e-06,0,194,0.5
Shannon capacity,1e-06,0,276,0.5
Shannon capacity,1e-06,0,358,0.5
Shannon capacity,1e-06,0,440,0.5
Shannon capacity,1e-06,0,522,0.5
Shannon capacity,1e-06,0,605,0.5
Shannon capacity,1e-06,0,687,0.5
Shannon capacity,1e-06,0,769,0.5
Shannon capacity,1e-06,0,851,0.5
Shannon capacity,1e-06,0,933,0.5
Shannon capacity,1e-06,0,1015,0.5
Shannon capacity,1e-06,0,1097,0.5
Shannon capacity,1e-06,0,1179,0.5
Shannon capacity,1e-06,0,1261,0.5
Shannon capacity,1e-06,0,1343,0.5
Shannon capacity,1e-06,0,1425,0.5
Shannon capacity,1e-06,0,1508,0.5
Shannon capacity,1e-06,0,1590,0.5
Shannon capacity,1e-06,0,1672,0.5
Shannon capacity,1e-06,0,1754,0.5
Shannon capacity,1e-06,0,1836,0.5
Shannon capacity,1e-06,0,1918,0.5
Shannon capacity,1e-06,0,2000,0.5
NCT converse (ours),1e-06,0,30,0.0682392
NCT converse (ours),1e-06,0,112,0.205907
NCT converse (ours),1e-06,0,194,0.260448
NCT converse (ours),1e-06,0,276,0.291904
NCT converse (ours),1e-06,0,358,0.313127
NCT converse (ours),1e-06,0,440,0.328734
NCT converse (ours),1e-06,0,522,0.340859
NCT converse (ours),1e-06,0,605,0.35075
NCT converse (ours),1e-06,0,687,0.35885
NCT converse (ours),1e-06,0,769,0.365719
NCT converse (ours),1e-06,0,851,0.371644
NCT converse (ours),1e-06,0,933,0.376823
NCT converse (ours),1e-06,0,1015,0.381405
NCT converse (ours),1e-06,0,1097,0.385495
NCT converse (ours),1e-06,0,1179,0.389178
NCT converse (ours),1e-06,0,1261,0.392517
NCT converse (ours),1e-06,0,1343,0.395563
NCT converse (ours),1e-06,0,1425,0.398358
NCT converse (ours),1e-06,0,1508,0.400963
NCT converse (ours),1e-06,0,1590,0.403345
NCT converse (ours),1e-06,0,1672,0.405559
NCT converse (ours),1e-06,0,1754,0.407624
NCT converse (ours),1e-06,0,1836,0.409555
NCT converse (ours),1e-06,0,1918,0.411368
NCT converse (ours),1e-06,0,2000,0.413073
$\chi^2$ converse (Polyanskiy),1e-06,0,30,0.0941284
$\chi^2$ converse (Polyanskiy),1e-06,0,112,0.216191
$\chi^2$ converse (Polyanskiy),1e-06,0,194,0.266793
$\chi^2$ converse (Polyanskiy),1e-06,0,276,0.296495
$\chi^2$ converse (Polyanskiy),1e-06,0,358,0.316727
$\chi^2$ converse (Polyanskiy),1e-06,0,440,0.331697
$\chi^2$ converse (Polyanskiy),1e-06,0,522,0.343376
$\chi^2$ converse (Polyanskiy),1e-06,0,605,0.352936
$\chi^2$ converse (Polyanskiy),1e-06,0,687,0.360785
$\chi^2$ converse (Polyanskiy),1e-06,0,769,0.367454
$\chi^2$ converse (Polyanskiy),1e-06,0,851,0.373217
$\chi^2$ converse (Polyanskiy),1e-06,0,933,0.378262
$\chi^2$ converse (Polyanskiy),1e-06,0,1015,0.38273
$\chi^2$ converse (Polyanskiy),1e-06,0,1097,0.386725
$\chi^2$ converse (Polyanskiy),1e-06,0,1179,0.390324
$\chi^2$ converse (Polyanskiy),1e-06,0,1261,0.39359
$\chi^2$ converse (Polyanskiy),1e-06,0,1343,0.396573
$\chi^2$ converse (Polyanskiy),1e-06,0,1425,0.39931
RCU$^+$ achievable (ours),1e-06,0,30,0
RCU$^+$ achievable (ours),1e-06,0,112,0.176537
RCU$^+$ achievable (ours),1e-06,0,194,0.248103
