curve,epsilon,snr_db,n,rate_bits
Shannon capacity,1e-06,3,30,0.791341
Shannon capacity,1e-06,3,112,0.791341
Shannon capacity,1e-06,3,194,0.791341
Shannon capacity,1e-06,3,276,0.791341
Shannon capacity,1e-06,3,358,0.791341
Shannon capacity,1e-06,3,440,0.791341
Shannon capacity,1e-06,3,522,0.791341
Shannon capacity,1e-06,3,605,0.791341
Shannon capacity,1e-06,3,687,0.791341
Shannon capacity,1e-06,3,769,0.791341
Shannon capacity,1e-06,3,851,0.791341
Shannon capacity,1e-06,3,933,0.791341
Shannon capacity,1e-06,3,1015,0.791341
Shannon capacity,1e-06,3,1097,0.791341
Shannon capacity,1e-06,3,1179,0.791341
Shannon capacity,1e-06,3,1261,0.791341
Shannon capacity,1e-06,3,1343,0.791341
Shannon capacity,1e-06,3,1425,0.791341
Shannon capacity,1e-06,3,1508,0.791341
Shannon capacity,1e-06,3,1590,0.791341
Shannon capacity,1e-06,3,1672,0.791341
Shannon capacity,1e-06,3,1754,0.791341
Shannon capacity,1e-06,3,1836,0.791341
Shannon capacity,1e-06,3,1918,0.791341
Shannon capacity,1e-06,3,2000,0.791341
NCT converse (ours),1e-06,3,30,0.248322
NCT converse (ours),1e-06,3,112,0.450456
NCT converse (ours),1e-06,3,194,0.518432
NCT converse (ours),1e-06,3,276,0.556213
NCT converse (ours),1e-06,3,358,0.581248
NCT converse (ours),1e-06,3,440,0.599457
NCT converse (ours),1e-06,3,522,0.613495
NCT converse (ours),1e-06,3,605,0.624882
NCT converse (ours),1e-06,3,687,0.634167
NCT converse (ours),1e-06,3,769,0.642013
NCT converse (ours),1e-06,3,851,0.64876
NCT converse (ours),1e-06,3,933,0.654644
NCT converse (ours),1e-06,3,1015,0.659838
NCT converse (ours),1e-06,3,1097,0.664467
NCT converse (ours),1e-06,3,1179,0.668628
NCT converse (ours),1e-06,3,1261,0.672395
NCT converse (ours),1e-06,3,1343,0.675828
NCT converse (ours),1e-06,3,1425,0.678973
NCT converse (ours),1e-06,3,1508,0.681902
NCT converse (ours),1e-06,3,1590,0.684578
NCT converse (ours),1e-06,3,1672,0.687062
NCT converse (ours),1e-06,3,1754,0.689377
NCT converse (ours),1e-06,3,1836,0.691541
NCT converse (ours),1e-06,3,1918,0.69357
NCT converse (ours),1e-06,3,2000,0.695478
$\chi^2$ converse (Polyanskiy),1e-06,3,30,0.278815
$\chi^2$ converse (Polyanskiy),1e-06,3,112,0.459384
$\chi^2$ converse (Polyanskiy),1e-06,3,194,0.523669
