curve,epsilon,snr_db,n,rate_bits
Shannon capacity,0.001,6,500,1.15823
Shannon capacity,0.001,6,688,1.15823
Shannon capacity,0.001,6,875,1.15823
Shannon capacity,0.001,6,1062,1.15823
Shannon capacity,0.001,6,1250,1.15823
Shannon capacity,0.001,6,1438,1.15823
Shannon capacity,0.001,6,1625,1.15823
Shannon capacity,0.001,6,1812,1.15823
Shannon capacity,0.001,6,2000,1.15823
Shannon capacity,0.001,6,2188,1.15823
Shannon capacity,0.001,6,2375,1.15823
Shannon capacity,0.001,6,2562,1.15823
Shannon capacity,0.001,6,2750,1.15823
Shannon capacity,0.001,6,2938,1.15823
Shannon capacity,0.001,6,3125,1.15823
Shannon capacity,0.001,6,3312,1.15823
Shannon capacity,0.001,6,3500,1.15823
Shannon capacity,0.001,6,3688,1.15823
Shannon capacity,0.001,6,3875,1.15823
Shannon capacity,0.001,6,4062,1.15823
Shannon capacity,0.001,6,4250,1.15823
Shannon capacity,0.001,6,4438,1.15823
Shannon capacity,0.001,6,4625,1.15823
Shannon capacity,0.001,6,4812,1.15823
Shannon capacity,0.001,6,5000,1.15823
NCT converse (ours),0.001,6,500,1.03563
NCT converse (ours),0.001,6,688,1.05212
NCT converse (ours),0.001,6,875,1.06317
$\chi^2$ converse (Polyanskiy),0.001,6,500,1.03655
RCU+ achievable (ours),0.001,6,500,1.0324
RCU+ achievable (ours),0.001,6,688,1.04981
RCU+ achievable (ours),0.001,6,875,1.06138
Normal approximation,0.001,6,500,1.02908
Normal approximation,0.001,6,688,1.04734
Normal approximation,0.001,6,875,1.05941
Normal approximation,0.001,6,1062,1.06819
Normal approximation,0.001,6,1250,1.07499
Normal approximation,0.001,6,1438,1.08044
Normal approximation,0.001,6,1625,1.0849
Normal approximation,0.001,6,1812,1.08866
Normal approximation,0.001,6,2000,1.09191
Normal approximation,0.001,6,2188,1.09474
Normal approximation,0.001,6,2375,1.09722
Normal approximation,0.001,6,2562,1.09942
Normal approximation,0.001,6,2750,1.10141
Normal approximation,0.001,6,2938,1.10321
Normal approximation,0.001,6,3125,1.10484
Normal approximation,0.001,6,3312,1.10633
Normal approximation,0.001,6,3500,1.10771
Normal approximation,0.001,6,3688,1.10898
Normal approximation,0.001,6,3875,1.11015
Normal approximation,0.001,6,4062,1.11125
Normal approximation,0.001,6,4250,1.11227
Normal approximation,0.001,6,4438,1.11324
Normal approximation,0.001,6,4625,1.11413
Normal approximation,0.001,6,4812,1.11498
Normal approximation,0.001,6,5000,1.11578
